year,tract_id,tract_name,num_tracts,num_vacants,pct_vacant,pct_change,pct_owner_occupied
2012,17101,Lawrence County,6936,1242.25,17.91,64.48,64.03
2012,17025,Clay County,6404,1026.25,16.03,4.8,67.88
2012,17181,Union County,7924,916.75,11.57,15.68,63.81
2012,17023,Clark County,7772,816.25,10.5,12.55,64.35
2012,17173,Shelby County,10396,1114.75,10.72,8.47,70.4
2012,15900,"Canton, IL",16194,2745.5,16.95,5.34,67.41
2012,23660,"Galesburg, IL",31759,4362.5,13.74,3.76,61.37
2012,40300,"Rochelle, IL",22561,3326.5,14.74,12.49,68.68
2012,25380,"Harrisburg, IL",11697,1582.5,13.53,17.29,64.78
2012,19340,"Davenport-Moline-Rock Island, IA-IL",111480,9842.75,8.83,7.61,67.24
2012,16660,"Charleston-Mattoon, IL",28298,1781.25,6.29,6.69,58.71
2012,37900,"Peoria, IL",164283,21469.25,13.07,5.38,67.28
2012,17045,Edgar County,8803,853.25,9.69,17.73,67.23
2012,17047,Edwards County,3186,578.25,18.14,105.24,68.59
2012,17041,Douglas County,8390,747.75,8.91,10.49,71.18
2012,17149,Pike County,7951,1196.75,15.05,25.94,64.7
2012,16580,"Champaign-Urbana, IL",101120,9187.25,9.09,9.49,52.31
2012,39500,"Quincy, IL-MO",34377,2489.5,7.24,17.55,66.06
2012,17145,Perry County,9426,860.75,9.13,4.14,67.84
2012,17069,Hardin County,2488,163.25,6.56,3.82,60.77
2012,16980,"Chicago-Naperville-Elgin, IL-IN-WI",3797246,210176.0,5.53,9.16,60.11
2012,32060,"Marion-Herrin, IL",30358,2592.0,8.54,8.32,63.02
2012,17125,Mason County,7077,1442.75,20.39,7.49,72.06
2012,23300,"Freeport, IL",22081,3609.0,16.34,13.33,64.05
2012,19500,"Decatur, IL",50474,4603.25,9.12,5.38,62.08
2012,17189,Washington County,6534,589.75,9.03,20.85,74.41
2012,44580,"Sterling, IL",25770,2173.75,8.44,14.23,68.72
2012,17075,Iroquois County,13452,2086.0,15.51,12.89,67.21
2012,16060,"Carbondale, IL",28578,3251.5,11.38,21.43,44.05
2012,27300,"Jacksonville, IL",17974,1744.75,9.71,1.69,63.56
2012,28100,"Kankakee-Bradley, IL",45246,5447.75,12.04,10.5,62.78
2012,16020,"Cape Girardeau-Jackson, MO-IL",42499,3127.75,7.36,-7.22,61.02
2012,44100,"Springfield, IL",95554,11276.25,11.8,-0.16,65.77
2012,41180,"St. Louis, MO-IL",1225205,95578.0,7.8,12.44,63.76
2012,17193,White County,7181,887.25,12.36,3.41,68.88
2012,19180,"Danville, IL",36317,3427.75,9.44,7.63,62.13
2012,17191,Wayne County,7974,739.0,9.27,1.93,69.38
2012,16460,"Centralia, IL",18295,2154.5,11.78,14.06,65.07
2012,17059,Gallatin County,2746,354.0,12.89,4.66,68.1
2012,17033,Crawford County,8661,718.5,8.3,2.35,72.44
2012,30660,"Lincoln, IL",12106,1762.0,14.55,5.78,63.46
2012,34500,"Mount Vernon, IL",21058,2000.25,9.5,7.55,65.97
2012,17153,Pulaski County,3155,464.0,14.71,-9.11,60.38
2012,17039,De Witt County,7521,2864.5,38.09,-3.48,69.75
2012,36860,"Ottawa-Streator, IL",68771,12042.25,17.51,12.75,68.2
2012,17139,Moultrie County,6260,2438.25,38.95,85.31,71.85
2012,38700,"Pontiac, IL",15895,2749.5,17.3,9.41,67.2
2012,17151,Pope County,2491,220.25,8.84,19.38,57.65
2012,40420,"Rockford, IL",145935,15050.25,10.31,16.24,62.66
2012,17157,Randolph County,13707,1313.25,9.58,6.12,65.66
2012,45380,"Taylorville, IL",15563,2185.25,14.04,39.65,67.47
2012,19940,"Dixon, IL",15048,2436.5,16.19,10.75,67.75
2012,17051,Fayette County,9302,979.0,10.52,10.31,71.35
2012,15460,"Burlington, IA-IL",22361,2588.0,11.57,4.49,67.52
2012,17159,Richland County,7513,727.5,9.68,22.06,68.55
2012,17135,Montgomery County,13079,1235.0,9.44,-1.63,65.93
2012,17017,Cass County,5836,853.5,14.62,-0.38,61.46
2012,14060,"Bloomington-Normal, IL",69656,11402.75,16.37,6.66,61.51
2012,17015,Carroll County,8437,3082.0,36.53,22.34,60.82
2012,17009,Brown County,2462,236.25,9.6,19.62,62.27
2012,22800,"Fort Madison-Keokuk, IA-IL-MO",75224,5890.5,7.83,6.46,64.76
2012,17061,Greene County,6388,533.25,8.35,12.03,69.46
2012,20820,"Effingham, IL",14570,826.75,5.67,6.44,73.86
2012,17055,Franklin County,18525,1869.25,10.09,17.64,67.12
2012,17085,Jo Daviess County,13574,6026.5,44.4,49.21,56.57
2012,17087,Johnson County,5598,1098.0,19.61,21.43,63.34
2012,17169,Schuyler County,3459,401.5,11.61,5.52,72.33
2012,17067,Hancock County,9273,1737.0,18.73,16.28,68.02
2012,37140,"Paducah, KY-IL",46900,4177.25,8.91,17.2,62.01
2012,17185,Wabash County,5585,383.5,6.87,0.66,67.18
2012,31380,"Macomb, IL",14419,2041.25,14.16,6.75,54.16
2012,17079,Jasper County,4344,338.75,7.8,1.27,76.16
