name,id,avg_household_income,median_income,percent_poverty,per_capita_income
"Bloomington-Normal, IL",14060,82268,61077,5.3,31585
Brown County,17009,65137,43750,2.9,19709
"Burlington, IA-IL",15460,58788,44211,5.0,24911
"Canton, IL",15900,56734,43269,4.4,22247
"Cape Girardeau, MO-IL",16020,63067,44816,5.5,24854
"Cape Girardeau-Jackson, MO-IL",16020,37509,27393,8.5,15157
"Carbondale, IL",16060,50052,33282,10.3,21227
Carroll County,17015,62955,48590,4.6,27093
Cass County,17017,58808,43493,5.7,22718
"Centralia, IL",16460,55089,41504,5.4,22557
"Champaign-Urbana, IL",16580,68641,46737,6.9,27565
"Charleston-Mattoon, IL",16660,57707,39027,7.6,22969
"Chicago-Naperville-Elgin, IL-IN-WI",16980,90019,61439,5.9,33070
Clark County,17023,64517,46618,3.6,26786
Clay County,17025,53731,39965,6.3,22158
Crawford County,17033,62679,44695,5.1,24554
"Danville, IL",19180,55311,41027,6.4,22128
"Davenport-Moline-Rock Island, IA-IL",19340,64669,48292,4.7,26614
De Witt County,17039,70606,49450,2.4,29038
"Decatur, IL",19500,66834,46247,6.5,27668
"Dixon, IL",19940,66585,50349,3.1,25425
Douglas County,17041,63438,50742,3.2,24512
Edgar County,17045,60160,42720,5.2,25387
Edwards County,17047,53247,39378,3.8,22500
"Effingham, IL",20820,68801,51189,4.0,27155
Fayette County,17051,58464,43894,6.2,21946
"Fort Madison-Keokuk, IA-IL-MO",22800,73493,52685,6.7,29746
Franklin County,17055,50722,37516,5.6,21305
"Freeport, IL",23300,58991,44635,5.2,24537
"Galesburg, IL",23660,55285,40628,5.7,22273
Gallatin County,17059,56001,39044,3.9,24078
Greene County,17061,60555,42742,4.1,24290
Hancock County,17067,57174,42873,3.4,24062
Hardin County,17069,44249,35827,8.9,19615
"Harrisburg, IL",25380,54141,37146,6.0,22556
Iroquois County,17075,66480,48406,2.9,26746
"Jacksonville, IL",27300,62799,47649,4.6,25054
Jasper County,17079,60478,48712,2.0,24571
Jo Daviess County,17085,72196,52395,2.4,31049
Johnson County,17087,56004,42823,2.7,20404
"Kankakee-Bradley, IL",28100,67271,49995,5.0,24614
Lawrence County,17101,53625,39147,5.3,19529
"Lincoln, IL",30660,67043,46360,2.6,24490
"Macomb, IL",31380,50135,35618,7.7,20073
"Marion-Herrin, IL",32060,59452,41809,5.0,24568
Mason County,17125,59932,42336,4.9,24842
Montgomery County,17135,59945,42511,3.0,23202
Moultrie County,17139,66621,50008,3.1,25839
"Mount Vernon, IL",34500,60020,41622,5.3,23932
"Ottawa-Streator, IL",36860,67568,51482,2.8,27095
"Paducah, KY-IL",37140,61751,43701,5.6,26243
"Peoria, IL",37900,74633,54484,4.9,29878
Perry County,17145,52996,41692,5.6,19764
Pike County,17149,53792,40400,3.1,21736
"Pontiac, IL",38700,66983,53948,3.0,25130
Pope County,17151,48604,39823,4.8,19888
Pulaski County,17153,46953,33006,4.7,20134
"Quincy, IL-MO",39500,63683,45089,5.0,25740
Randolph County,17157,60953,48111,3.8,22421
Richland County,17159,59738,43290,4.6,24752
"Rochelle, IL",40300,71108,56429,3.0,27722
"Rockford, IL",40420,68848,49737,6.5,26403
Schuyler County,17169,58273,47860,5.4,23482
Shelby County,17173,60340,46389,3.2,24867
"Springfield, IL",44100,75168,55930,4.9,31519
"St. Louis, MO-IL",41180,78354,54636,4.8,31190
"Sterling, IL",44580,64033,46351,5.0,25986
"Taylorville, IL",45380,60882,44154,4.1,24589
Union County,17181,53931,41959,6.1,21705
Wabash County,17185,61595,45013,4.1,25840
Washington County,17189,65895,54713,1.7,26535
Wayne County,17191,54794,41521,3.8,23219
White County,17193,58883,42835,3.8,25348
