year,tract_id,tract_name,num_tracts,num_vacants,pct_vacant,pct_change,pct_owner_occupied
2013,17031802801,17031802801,1884,39.75,2.11,91.57,82.48
2013,17031071600,17031071600,834,11.25,1.35,-27.42,53.36
2013,17043845510,17043845510,1591,27.5,1.73,-4.35,39.79
2013,17197880307,17197880307,2318,10.75,0.46,30.3,60.05
2013,17093890600,17093890600,3494,455.25,13.03,-10.38,82.66
2013,17031461000,17031461000,915,64.75,7.08,-3.72,21.2
2013,17031843900,17031843900,2277,187.25,8.22,2.04,26.22
2013,17097860809,17097860809,1303,58.75,4.51,6.82,85.42
2013,17187870200,17187870200,1302,263.25,20.22,1.25,64.13
2013,17135958000,17135958000,1837,118.75,6.46,5.79,63.36
2013,17197880303,17197880303,1346,13.25,0.98,-24.29,94.35
2013,17031815300,17031815300,1376,28.75,2.09,-13.53,76.74
2013,17031160200,17031160200,1394,40.5,2.91,11.72,56.53
2013,17163501603,17163501603,3101,229.0,7.38,9.05,42.7
2013,17163501602,17163501602,2591,92.0,3.55,-2.9,54.46
2013,17163501605,17163501605,1213,41.75,3.44,2.45,81.29
2013,17163501604,17163501604,2378,57.0,2.4,6.05,43.19
2013,17201001400,17201001400,1797,127.75,7.11,9.42,47.3
2013,17031804609,17031804609,2624,74.0,2.82,3.86,56.52
2013,17031804608,17031804608,1632,17.25,1.06,-5.48,83.52
2013,17031804607,17031804607,2616,32.25,1.23,22.86,85.86
2013,17031804606,17031804606,2610,11.0,0.42,15.79,97.78
2013,17097860807,17097860807,2070,825.25,39.87,-1.14,66.28
2013,17031804603,17031804603,2791,172.0,6.16,33.59,30.71
2013,17057953600,17057953600,2219,97.5,4.39,26.62,58.58
2013,17031380500,17031380500,292,0.0,0.0,null,0.0
2013,17165955500,17165955500,1212,185.5,15.31,12.77,55.69
2013,17031350400,17031350400,665,13.75,2.07,22.22,0.0
2013,17019010900,17019010900,3977,972.5,24.45,2.72,73.1
2013,17197880308,17197880308,2367,579.5,24.48,11.12,104.48
2013,17197880420,17197880420,2849,199.0,6.98,-0.38,93.96
2013,17197880421,17197880421,1826,822.25,45.03,-2.23,95.07
2013,17043846104,17043846104,1498,40.0,2.67,15.11,77.44
2013,17031750300,17031750300,993,7.5,0.76,-16.67,73.01
2013,17089854301,17089854301,2104,32.0,1.52,-14.67,54.33
2013,17089854302,17089854302,1657,27.75,1.67,46.05,53.41
2013,17201980000,17201980000,2,1.0,50.0,0.0,0.0
2013,17121952000,17121952000,1976,124.75,6.31,-0.6,66.35
2013,17031840100,17031840100,1124,77.25,6.87,17.49,31.41
2013,17031560300,17031560300,949,6.75,0.71,80.0,90.31
2013,17167003202,17167003202,1641,62.0,3.78,40.11,87.26
2013,17031801702,17031801702,1739,17.5,1.01,-5.41,80.05
2013,17031801701,17031801701,1290,118.75,9.21,850.0,87.21
2013,17031020100,17031020100,1665,28.25,1.7,-35.43,47.39
2013,17141961000,17141961000,2637,857.75,32.53,1.39,78.46
2013,17097862100,17097862100,1823,153.25,8.41,19.26,42.95
2013,17195000300,17195000300,1465,65.25,4.45,-2.25,59.18
2013,17073031100,17073031100,1344,84.75,6.31,2.42,70.16
2013,17119401000,17119401000,1226,72.0,5.87,1.05,59.79
2013,17147954800,17147954800,1207,210.0,17.4,27.47,68.19
2013,17103000100,17103000100,1228,517.25,42.12,2.48,70.6
2013,17043845902,17043845902,1434,90.75,6.33,-20.39,93.58
2013,17197881900,17197881900,1649,115.5,7.0,12.41,17.34
2013,17043845901,17043845901,1223,88.0,7.2,8.64,92.64
2013,17119403531,17119403531,3412,125.25,3.67,8.21,59.47
2013,17119403533,17119403533,3966,394.75,9.95,406.09,79.0
