name,id,avg_household_income,median_income,percent_poverty,per_capita_income
17001000100,17001000100,66895,42744,4.9,30578
17001000201,17001000201,58067,44590,5.7,25496
17001000202,17001000202,60654,43567,11.3,21155
17001000400,17001000400,43812,26738,13.2,15550
17001000500,17001000500,44360,31639,20.4,16875
17001000600,17001000600,94714,54030,6.7,41498
17001000700,17001000700,29279,19375,14.9,16784
17001000800,17001000800,36255,23929,17.2,14269
17001000900,17001000900,47728,36745,11.8,21685
17001001001,17001001001,60876,46336,15.3,25726
17001001002,17001001002,59196,42955,3.8,24464
17001001100,17001001100,77699,58674,4.2,33823
17001010100,17001010100,60832,49046,1.4,23644
17001010200,17001010200,55193,42230,2.2,21721
17001010300,17001010300,69129,58060,1.3,25938
17001010400,17001010400,70906,56258,1.3,26482
17001010500,17001010500,94529,66848,1.3,40323
17001010600,17001010600,80169,58547,5.6,31044
17003957600,17003957600,41699,33542,3.4,14412
17003957700,17003957700,44934,34872,5.0,18764
17003957800,17003957800,38345,25403,14.3,17366
17003957900,17003957900,21417,11068,49.1,9551
17005951200,17005951200,74409,52126,3.0,30472
17005951300,17005951300,64819,44709,4.2,19619
17005951400,17005951400,61691,41908,1.7,24668
17005951500,17005951500,77178,50962,1.7,30295
17007010100,17007010100,67795,50605,9.3,23374
17007010200,17007010200,58485,52672,6.0,20328
17007010300,17007010300,59290,42474,7.6,21263
17007010400,17007010400,74920,63791,1.9,25605
17007010500,17007010500,121538,99068,0.4,42505
17007010601,17007010601,72021,63845,2.3,25606
17007010602,17007010602,93464,73577,1.6,29493
17009970400,17009970400,59981,51702,2.1,25663
17009970500,17009970500,70978,38107,4.1,16126
17011964700,17011964700,67752,54946,2.4,26818
17011964800,17011964800,58422,52579,2.7,22443
17011964900,17011964900,52808,40723,3.3,22099
17011965000,17011965000,54393,45319,1.4,20194
17011965100,17011965100,83861,50787,2.7,34478
17011965200,17011965200,53254,44494,2.5,21952
17011965300,17011965300,68312,48455,7.3,29305
17011965400,17011965400,69325,45240,3.9,31977
17011965500,17011965500,65492,50605,2.5,25716
17011965600,17011965600,77231,47331,1.8,31525
17013951200,17013951200,62964,45741,3.1,26209
17013951300,17013951300,66314,51933,3.8,26686
17015960100,17015960100,68782,54030,3.7,29681
17015960200,17015960200,64051,52323,5.2,27751
17015960300,17015960300,44470,37523,11.7,20121
17015960400,17015960400,75273,45353,5.5,31605
17015960500,17015960500,67767,54958,0.9,28382
17015960600,17015960600,62455,50196,3.2,25834
17017960100,17017960100,60000,46802,4.4,24969
17017960200,17017960200,59468,48510,1.9,25064
17017960300,17017960300,57046,50868,7.1,21232
17017960400,17017960400,64675,33891,15.6,25002
17017960500,17017960500,52902,40352,3.7,18136
17019000200,17019000200,44797,27118,8.7,16300
17019000301,17019000301,17363,8569,82.3,7098
17019000302,17019000302,21335,12129,69.1,12471
17019000401,17019000401,28430,12500,20.6,3164
17019000402,17019000402,22916,10203,70.6,7543
17019000500,17019000500,66093,46064,28.8,33966
17019000700,17019000700,40471,28961,11.8,15501
17019000800,17019000800,53871,45637,11.6,23677
17019000901,17019000901,45228,32828,18.5,16950
17019000902,17019000902,75235,62714,7.0,31428
17019001000,17019001000,53492,36076,8.1,25643
17019001100,17019001100,99633,70915,1.2,45235
17019001201,17019001201,57649,43870,9.8,24590
17019001203,17019001203,96251,71554,6.6,38484
17019001204,17019001204,136189,110404,1.2,48504
17019001205,17019001205,158113,95849,3.4,59077
17019001206,17019001206,141730,101974,0.0,64169
17019001301,17019001301,85229,69571,3.8,39776
17019001302,17019001302,98615,71343,1.8,46290
17019001400,17019001400,74516,57652,1.6,15744
17019005300,17019005300,30756,21161,16.2,16617
17019005401,17019005401,46825,33248,9.5,22885
17019005402,17019005402,68737,44590,10.4,29590
17019005500,17019005500,60902,40189,8.3,25820
17019005600,17019005600,62363,34518,10.1,27382
17019005701,17019005701,74832,43528,14.6,35392
17019005702,17019005702,71995,42351,4.8,36153
17019005800,17019005800,74840,57065,38.5,32423
17019005900,17019005900,26660,10090,29.3,5595
17019006000,17019006000,32477,22130,7.5,5429
17019010100,17019010100,51193,38240,12.7,22803
17019010204,17019010204,64587,41329,12.4,26324
