tract_id,tract_name,pct_female_jobs,pct_male_jobs
17031802801,17031802801,53.25,46.75
17031071600,17031071600,61.95,38.05
17043845510,17043845510,40.99,59.01
17197880307,17197880307,57.68,42.32
17093890600,17093890600,52.36,47.59
17031461000,17031461000,61.1,38.9
17031843900,17031843900,48.22,51.78
17097860809,17097860809,45.94,53.94
17187870200,17187870200,46.12,53.88
17135958000,17135958000,41.32,58.68
17197880303,17197880303,73.07,26.93
17031815300,17031815300,40.88,59.12
17031160200,17031160200,42.8,57.2
17163501603,17163501603,49.31,50.69
17163501602,17163501602,47.29,52.71
17163501605,17163501605,54.2,45.8
17163501604,17163501604,70.99,29.01
17201001400,17201001400,44.75,55.25
17031804609,17031804609,43.76,56.24
17031804608,17031804608,79.66,20.34
17031804607,17031804607,56.27,43.73
17031804606,17031804606,59.62,40.38
17097860807,17097860807,37.59,62.41
17031804603,17031804603,51.1,48.9
17057953600,17057953600,61.74,38.26
17031380500,17031380500,0.0,100.0
17165955500,17165955500,46.07,53.93
17031350400,17031350400,44.16,55.84
17019010900,17019010900,42.78,57.28
17197880308,17197880308,38.74,61.31
17197880420,17197880420,36.36,63.64
17197880421,17197880421,40.31,59.69
17043846104,17043846104,35.73,64.27
17031750300,17031750300,60.04,39.96
17089854301,17089854301,73.72,26.28
17089854302,17089854302,44.44,55.56
17201980000,17201980000,30.48,69.52
17121952000,17121952000,56.09,43.91
17031840100,17031840100,47.29,52.71
17031560300,17031560300,47.37,52.63
17167003202,17167003202,54.0,46.0
17031801702,17031801702,53.62,46.38
17031801701,17031801701,59.26,40.74
17031020100,17031020100,74.52,25.48
17141961000,17141961000,53.25,46.75
17097862100,17097862100,62.21,37.79
17195000300,17195000300,52.2,47.8
17073031100,17073031100,45.54,54.46
17119401000,17119401000,18.93,81.07
17147954800,17147954800,47.24,53.1
17103000100,17103000100,41.43,58.57
17043845902,17043845902,44.28,55.72
17197881900,17197881900,68.53,31.47
17043845901,17043845901,40.13,59.87
17119403531,17119403531,63.1,36.9
17119403533,17119403533,68.24,31.73
17119403532,17119403532,21.85,78.15
17119403534,17119403534,45.68,54.35
17031420600,17031420600,37.5,62.5
17091010602,17091010602,57.46,42.57
17031230300,17031230300,60.0,40.0
17099962400,17099962400,57.32,42.84
17031814900,17031814900,57.3,42.7
17031470100,17031470100,36.24,63.76
17031720600,17031720600,57.6,42.4
17031310800,17031310800,70.53,29.47
17133600102,17133600102,52.46,47.54
17133600101,17133600101,53.91,46.09
17043842500,17043842500,60.08,39.92
17031829500,17031829500,42.28,57.72
17191955200,17191955200,63.59,36.41
17031191200,17031191200,41.81,58.19
17197883519,17197883519,43.61,56.39
17197883515,17197883515,64.6,35.3
17197883514,17197883514,50.19,49.81
17031819300,17031819300,52.92,47.08
17197883516,17197883516,50.14,49.86
17197883511,17197883511,63.25,36.75
17197883510,17197883510,24.87,75.13
17197883513,17197883513,54.17,45.88
17201002400,17201002400,25.71,74.29
17031834500,17031834500,33.33,66.67
17097864519,17097864519,58.31,41.69
17097864518,17097864518,55.58,44.42
17031221000,17031221000,37.86,62.14
17097864516,17097864516,63.18,36.82
17097864515,17097864515,68.19,31.39
17097864514,17097864514,58.95,40.98
17031062300,17031062300,43.16,56.84
17097864512,17097864512,59.12,40.88
17097864511,17097864511,40.98,59.02
