tract_id,tract_name,pct_female_jobs,pct_male_jobs
17009,Brown County,35.19,64.81
17167,Sangamon County,53.84,46.16
17165,Saline County,49.65,50.32
17163,St. Clair County,52.15,47.84
17161,Rock Island County,47.28,52.72
17001,Adams County,50.32,49.68
17003,Alexander County,48.29,51.65
17005,Bond County,53.58,46.42
17007,Boone County,43.04,56.92
17169,Schuyler County,48.57,51.53
17153,Pulaski County,47.26,52.74
17151,Pope County,64.21,35.79
17019,Champaign County,50.92,49.08
17157,Randolph County,49.23,50.79
17155,Putnam County,35.85,64.1
17013,Calhoun County,65.33,34.77
17159,Richland County,55.21,44.79
17011,Bureau County,53.98,46.03
17017,Cass County,44.44,55.54
17015,Carroll County,50.32,49.7
17081,Jefferson County,47.68,52.33
17083,Jersey County,58.2,41.76
17085,Jo Daviess County,50.15,49.88
17087,Johnson County,49.54,50.46
17089,Kane County,49.75,50.25
17027,Clinton County,50.73,49.25
17025,Clay County,48.3,51.72
17023,Clark County,50.27,49.73
17021,Christian County,49.01,50.99
17029,Coles County,53.51,46.48
17149,Pike County,54.86,45.16
17145,Perry County,48.34,51.66
17147,Piatt County,53.95,46.08
17141,Ogle County,46.27,53.75
17143,Peoria County,52.57,47.43
17093,Kendall County,52.76,47.24
17091,Kankakee County,55.59,44.4
17097,Lake County,51.62,48.38
17095,Knox County,58.65,41.34
17099,LaSalle County,52.02,47.99
17031,Cook County,50.82,49.18
17033,Crawford County,44.9,55.12
17035,Cumberland County,46.88,53.08
17037,DeKalb County,53.39,46.6
17039,De Witt County,43.34,56.66
17139,Moultrie County,48.64,51.41
17131,Mercer County,55.56,44.5
17133,Monroe County,52.88,47.13
17135,Montgomery County,49.56,50.45
17137,Morgan County,54.67,45.31
17203,Woodford County,45.83,54.18
17201,Winnebago County,50.69,49.3
17045,Edgar County,50.15,49.85
17047,Edwards County,47.26,52.63
17129,Menard County,50.59,49.46
17041,Douglas County,45.94,54.06
17043,DuPage County,48.66,51.34
17123,Marshall County,53.23,46.8
17121,Marion County,54.79,45.24
17049,Effingham County,49.38,50.61
17127,Massac County,47.5,52.52
17125,Mason County,55.21,44.76
17117,Macoupin County,51.17,48.83
17115,Macon County,47.64,52.36
17113,McLean County,50.94,49.06
17111,McHenry County,51.7,48.3
17119,Madison County,48.08,51.92
17057,Fulton County,60.38,39.61
17055,Franklin County,52.48,47.54
17053,Ford County,53.76,46.22
17051,Fayette County,52.48,47.53
17059,Gallatin County,37.55,62.45
17101,Lawrence County,51.63,48.4
17103,Lee County,50.4,49.6
17105,Livingston County,48.03,51.95
17107,Logan County,50.09,49.91
17109,McDonough County,52.12,47.88
17063,Grundy County,47.45,52.56
17061,Greene County,55.29,44.67
17067,Hancock County,55.46,44.54
17065,Hamilton County,53.73,46.27
17069,Hardin County,59.23,40.77
17199,Williamson County,53.51,46.5
17197,Will County,49.48,50.52
17195,Whiteside County,56.4,43.62
17193,White County,46.79,53.24
17191,Wayne County,52.86,47.07
17175,Stark County,51.41,48.42
17177,Stephenson County,53.06,46.93
17171,Scott County,44.05,55.95
17079,Jasper County,44.93,54.9
17173,Shelby County,48.58,51.42
17075,Iroquois County,52.54,47.43
17077,Jackson County,54.69,45.33
17179,Tazewell County,42.55,57.44
17071,Henderson County,60.47,39.53
17073,Henry County,51.38,48.61
17189,Washington County,21.93,78.08
17181,Union County,57.65,42.35
17183,Vermilion County,51.06,48.95
17185,Wabash County,53.94,46.09
17187,Warren County,47.04,52.96
