tract_id,tract_name,male_wf,male_emp,pct_male_emp,female_wf,female_emp,pct_female_emp,total_wf,total_emp,pct_total_emp
1763641,Richmond village,798,561,70.3,726,430,59.23,1525,991,64.98
1744498,Long Creek village,554,374,67.51,541,282,52.13,1095,656,59.91
1780125,West Dundee village,2707,1916,70.78,3147,2034,64.63,5854,3950,67.48
1736347,Hoyleton village,218,148,67.89,198,120,60.61,416,268,64.42
1711293,Carmi city,2038,1002,49.17,2221,1005,45.25,4259,2006,47.1
1727091,Forsyth village,1299,945,72.75,1415,638,45.09,2714,1583,58.33
1773391,Sugar Grove village,3422,2454,71.71,3512,2200,62.64,6935,4655,67.12
1782985,Wood Dale city,5517,3749,67.95,5795,3362,58.02,11312,7111,62.86
1754534,Oak Brook village,3168,1879,59.31,3822,1517,39.69,6989,3394,48.56
1709681,Bureau Junction village,127,85,66.93,115,57,49.57,242,141,58.26
1755002,Oakwood village,688,420,61.05,573,323,56.37,1261,743,58.92
1708225,Bridgeview village,6585,4057,61.61,6507,3519,54.08,13092,7574,57.85
1769875,Sidney village,464,323,69.61,503,304,60.44,968,627,64.77
1765884,Rosewood Heights CDP,1655,956,57.76,1683,896,53.24,3338,1850,55.42
1751271,Muddy village,28,19,67.86,26,13,50.0,54,32,59.26
1717991,Cuba city,470,242,51.49,588,285,48.47,1059,526,49.67
1756978,Otterville town,51,31,60.78,48,28,58.33,99,58,58.59
1709577,Bunker Hill city,714,434,60.78,722,369,51.11,1436,803,55.92
1704117,Batchtown village,90,55,61.11,81,45,55.56,170,100,58.82
1739883,Kildeer village,1493,974,65.24,1513,830,54.86,3005,1805,60.07
1778708,Waltonville village,183,129,70.49,168,97,57.74,351,225,64.1
1747280,Martinton village,142,84,59.15,159,98,61.64,302,182,60.26
1708420,Broadlands village,131,91,69.47,142,86,60.56,274,177,64.6
1783765,Yale village,34,20,58.82,36,22,61.11,70,43,61.43
1769277,Sheridan village,1118,591,52.86,724,410,56.63,1842,1001,54.34
1701205,Alto Pass village,165,99,60.0,156,72,46.15,320,171,53.44
1732408,Hamel village,306,208,67.97,345,185,53.62,651,393,60.37
1755171,Odell village,312,167,53.53,598,119,19.9,910,286,31.43
1756159,Oneida city,288,188,65.28,276,138,50.0,564,326,57.8
1717523,Crete village,3176,1963,61.81,3604,1887,52.36,6780,3850,56.78
1778383,Waggoner village,93,53,56.99,112,70,62.5,205,123,60.0
1783102,Woodland village,126,68,53.97,129,75,58.14,255,142,55.69
1768458,Seaton village,93,61,65.59,86,42,48.84,178,103,57.87
1726454,Flora city,1736,1100,63.36,2278,853,37.45,4015,1953,48.64
1732668,Hanna City village,487,316,64.89,501,270,53.89,987,586,59.37
1774860,Thayer village,278,220,79.14,260,151,58.08,538,371,68.96
1779163,Waterman village,606,389,64.19,601,348,57.9,1206,737,61.11
1772624,Steward village,102,65,63.73,95,58,61.05,197,123,62.44
1721254,Dupo village,1534,760,49.54,1763,1114,63.19,3296,1874,56.86
1721579,East Brooklyn village,41,24,58.54,41,21,51.22,83,45,54.22
1737257,Indian Head Park village,1384,834,60.26,1830,780,42.62,3214,1614,50.22
1750829,Mount Auburn village,197,136,69.04,201,120,59.7,398,256,64.32
1750530,Morrison city,1611,946,58.72,1774,826,46.56,3384,1772,52.36
1764174,Ripley village,38,30,78.95,35,21,60.0,73,51,69.86
1782218,Wilsonville village,214,107,50.0,264,171,64.77,477,278,58.28
1704936,Bellmont village,109,72,66.06,109,63,57.8,218,134,61.47
1769082,Shawneetown city,495,287,57.98,496,268,54.03,991,554,55.9
1778942,Warsaw city,649,359,55.32,646,384,59.44,1295,743,57.37
1717458,Crest Hill city,9865,4622,46.85,7454,4105,55.07,17318,8725,50.38
1705404,Berkeley village,1883,1151,61.13,2274,1285,56.51,4156,2436,58.61
1749607,Minooka village,3706,2507,67.65,4195,2585,61.62,7901,5091,64.43
1738115,Jacksonville city,7699,4677,60.75,8029,4110,51.19,15729,8786,55.86
1740832,La Harpe city,496,319,64.31,508,283,55.71,1004,602,59.96
1777720,Versailles village,209,167,79.9,196,116,59.18,405,284,70.12
1760079,Piper City village,304,191,62.83,357,154,43.14,661,345,52.19
1734670,Highland city,3661,2500,68.29,4110,2435,59.25,7770,4936,63.53
1712801,Chebanse village,407,240,58.97,437,252,57.67,844,492,58.29
1704689,Belgium village,164,86,52.44,154,82,53.25,318,168,52.83
1717185,Crainville village,481,299,62.16,513,292,56.92,995,590,59.3
1738375,Jerome village,597,355,59.46,751,499,66.44,1348,855,63.43
1761899,Princeton city,2879,1917,66.59,3327,1701,51.13,6206,3619,58.31
1731992,Gulf Port village,21,14,66.67,22,14,63.64,44,28,63.64
1735671,Hollowayville village,33,22,66.67,30,15,50.0,63,37,58.73
1716210,Cooksville village,68,46,67.65,76,43,56.58,144,89,61.81
1746240,Malden village,141,103,73.05,140,77,55.0,281,180,64.06
1714767,Clayton village,281,175,62.28,282,141,50.0,563,316,56.13
1733136,Harrisburg city,3534,1809,51.19,3703,1307,35.3,7239,3115,43.03
1710643,Cambridge village,820,514,62.68,886,489,55.19,1705,1003,58.83
1735411,Hoffman Estates village,19849,14111,71.09,21447,13235,61.71,41297,27343,66.21
1764590,Roanoke village,778,528,67.87,858,476,55.48,1636,1004,61.37
1750647,Morton Grove village,9193,5857,63.71,10289,5436,52.83,19481,11293,57.97
1710084,Bush village,112,62,55.36,114,53,46.49,226,115,50.88
1701543,Anna city,1782,809,45.4,1838,751,40.86,3621,1559,43.05
1717077,Coyne Center CDP,325,221,68.0,362,209,57.73,687,430,62.59
1749555,Minier village,478,317,66.32,525,295,56.19,1004,612,60.96
1775757,Topeka village,32,16,50.0,30,13,43.33,62,28,45.16
1740767,La Grange village,5250,3625,69.05,6195,3499,56.48,11445,7123,62.24
1750790,Mound Station village,53,43,81.13,50,30,60.0,103,72,69.9
1735073,Hillsdale village,215,142,66.05,207,118,57.0,422,260,61.61
1730029,Glenwood village,3336,1987,59.56,3761,2101,55.86,7097,4090,57.63
1748554,Merrionette Park village,773,499,64.55,758,442,58.31,1531,942,61.53
1735307,Hinsdale village,5864,3962,67.56,6514,2730,41.91,12376,6692,54.07
1700230,Addieville village,101,73,72.28,104,67,64.42,205,141,68.78
1780879,West Union CDP,122,92,75.41,110,72,65.45,232,164,70.69
1777473,Venice city,531,177,33.33,852,392,46.01,1383,569,41.14
1730757,Grand Ridge village,219,137,62.56,230,138,60.0,448,276,61.61
1773170,Streator city,5009,3023,60.35,5736,2933,51.13,10745,5954,55.41
1746864,Marine village,372,240,64.52,390,202,51.79,762,441,57.87
1724374,Erie village,650,402,61.85,625,301,48.16,1275,704,55.22
1743445,Lima village,65,46,70.77,66,38,57.58,131,84,64.12
1754781,Oakland city,331,208,62.84,386,263,68.13,718,470,65.46
1720526,Dover village,66,48,72.73,65,36,55.38,131,83,63.36
1766287,Ruma village,124,94,75.81,132,73,55.3,257,167,64.98
1748242,Melrose Park village,9401,6214,66.1,9211,4678,50.79,18612,10891,58.52
1744719,Loraine village,125,89,71.2,127,73,57.48,252,162,64.29
1731576,Greenview village,277,175,63.18,323,213,65.94,601,388,64.56
1711592,Cary village,7057,5002,70.88,6850,4303,62.82,13908,9306,66.91
1729938,Glenview village,16365,10684,65.29,18911,9852,52.1,35279,20534,58.2
1748606,Metamora village,1306,787,60.26,1534,895,58.34,2840,1682,59.23
1723503,Ellis Grove village,160,117,73.13,141,71,50.35,301,188,62.46
1727884,Freeport city,9515,4796,50.4,10700,5917,55.3,20216,10713,52.99
1708303,Brimfield village,324,229,70.68,339,188,55.46,662,417,62.99
1736190,Hopkins Park village,237,48,20.25,249,103,41.37,486,151,31.07
1773547,Summerfield village,164,104,63.41,214,115,53.74,377,219,58.09
1759273,Pesotum village,210,156,74.29,234,146,62.39,444,302,68.02
1710513,Calumet Park village,2961,1621,54.75,3279,1628,49.65,6240,3249,52.07
1736750,Huntley village,8845,5654,63.92,9693,5313,54.81,18538,10967,59.16
1709148,Brussels village,59,36,61.02,53,30,56.6,112,66,58.93
1743939,Lisle village,9166,6776,73.93,9405,5653,60.11,18571,12428,66.92
1722567,Edgewood village,176,117,66.48,175,97,55.43,351,214,60.97
1778175,Virgil village,136,92,67.65,139,84,60.43,274,176,64.23
1707471,Bourbonnais village,7000,3484,49.77,7951,4551,57.24,14950,8035,53.75
1764759,Rochester village,1366,1033,75.62,1542,986,63.94,2909,2018,69.37
1727533,Fox River Grove village,1903,1372,72.1,1992,1280,64.26,3894,2653,68.13
1751206,Mount Zion village,2209,1627,73.65,2315,1240,53.56,4524,2867,63.37
1759052,Peotone village,1699,1161,68.33,1559,945,60.62,3258,2106,64.64
1771604,Spring Bay village,181,100,55.25,194,122,62.89,376,223,59.31
1780060,West Chicago city,10213,7593,74.35,10079,6160,61.12,20295,13753,67.77
1715352,Coffeen city,453,51,11.26,169,91,53.85,622,142,22.83
1752467,New Grand Chain village,76,34,44.74,86,41,47.67,162,75,46.3
1718420,Dallas City city,382,220,57.59,377,215,57.03,759,435,57.31
1765962,Rossville village,557,306,54.94,478,250,52.3,1035,557,53.82
1775653,Toluca city,532,322,60.53,590,298,50.51,1121,619,55.22
1727624,Frankfort village,6506,4512,69.35,7150,4174,58.38,13656,8686,63.61
1752311,New Canton town,143,88,61.54,141,69,48.94,284,158,55.63
1712008,Cedarville village,299,180,60.2,307,202,65.8,606,383,63.2
1718641,Darmstadt CDP,27,17,62.96,27,15,55.56,55,33,60.0
1778370,Wadsworth village,1436,943,65.67,1561,887,56.82,2997,1829,61.03
1769212,Sheldon village,416,223,53.61,427,246,57.61,843,470,55.75
1726467,Floraville CDP,21,15,71.43,22,14,63.64,42,28,66.67
1742405,Lawrenceville city,1628,315,19.35,1784,1042,58.41,3412,1356,39.74
1772702,Stillman Valley village,426,274,64.32,416,258,62.02,842,532,63.18
1703571,Banner village,72,37,51.39,86,51,59.3,158,88,55.7
1726662,Foosland village,38,27,71.05,41,23,56.1,80,50,62.5
1730835,Grandview village,500,305,61.0,662,356,53.78,1162,661,56.88
1749802,Modesto village,78,50,64.1,75,42,56.0,153,92,60.13
1780645,Westmont village,9440,6530,69.17,10642,5724,53.79,20081,12255,61.03
1770122,Skokie village,25037,15811,63.15,27855,14458,51.9,52893,30269,57.23
