year,tract_id,tract_name,num_tracts,num_vacants,pct_vacant,pct_change,pct_owner_occupied
2009,1763641,Richmond village,1002,243.14,24.24,14.8,56.59
2009,1744498,Long Creek village,539,10.84,2.01,33.17,85.01
2009,1780125,West Dundee village,2945,109.81,3.73,12.23,74.91
2009,1736347,Hoyleton village,213,11.41,5.35,38.42,77.37
2009,1711293,Carmi city,2539,238.93,9.41,11.63,65.83
2009,1727091,Forsyth village,1353,127.26,9.4,53.08,87.71
2009,1773391,Sugar Grove village,3193,335.42,10.5,30.07,91.17
2009,1782985,Wood Dale city,5529,110.47,2.0,32.52,69.99
2009,1754534,Oak Brook village,3187,105.48,3.31,15.36,77.39
2009,1709681,Bureau Junction village,162,4.89,3.0,11.53,52.17
2009,1755002,Oakwood village,675,32.58,4.83,34.53,74.53
2009,1708225,Bridgeview village,5888,107.42,1.82,11.42,69.85
2009,1769875,Sidney village,505,17.78,3.52,105.3,79.48
2009,1765884,Rosewood Heights CDP,1752,25.77,1.47,0.84,77.44
2009,1751271,Muddy village,36,3.38,9.39,17.01,61.61
2009,1717991,Cuba city,564,163.71,28.98,6.49,76.26
2009,1756978,Otterville town,52,21.08,40.53,5.02,80.43
2009,1709577,Bunker Hill city,745,17.32,2.33,92.05,83.5
2009,1704117,Batchtown village,109,7.21,6.55,41.88,63.66
2009,1739883,Kildeer village,1311,281.19,21.43,11.05,90.09
2009,1778708,Waltonville village,187,17.36,9.28,90.14,78.74
2009,1747280,Martinton village,151,13.64,8.97,24.76,82.1
2009,1708420,Broadlands village,147,5.18,3.52,105.37,77.29
2009,1783765,Yale village,43,3.29,7.49,37.85,70.25
2009,1769277,Sheridan village,321,31.69,9.87,9.82,177.45
2009,1701205,Alto Pass village,160,10.71,6.65,42.97,76.08
2009,1732408,Hamel village,337,26.04,7.73,44.5,83.0
2009,1755171,Odell village,454,76.38,16.79,16.3,50.83
2009,1756159,Oneida city,309,153.58,49.54,9.85,75.12
2009,1717523,Crete village,3386,33.19,0.98,26.6,82.49
2009,1778383,Waggoner village,114,8.08,7.02,60.24,72.58
2009,1783102,Woodland village,135,10.05,7.45,148.18,70.31
2009,1768458,Seaton village,94,20.41,21.71,45.77,87.13
2009,1726454,Flora city,2355,279.14,11.85,-2.38,53.49
2009,1732668,Hanna City village,584,60.98,10.44,47.82,72.25
2009,1774860,Thayer village,313,13.95,4.46,53.92,59.42
2009,1779163,Waterman village,598,176.87,29.53,126.24,69.29
2009,1772624,Steward village,105,33.03,31.45,165.91,71.24
2009,1721254,Dupo village,1862,137.15,7.36,26.75,71.68
2009,1721579,East Brooklyn village,44,3.24,7.37,80.16,72.47
2009,1737257,Indian Head Park village,1927,33.73,1.75,12.96,78.44
2009,1750829,Mount Auburn village,219,17.9,8.14,41.95,66.86
2009,1750530,Morrison city,1869,47.78,2.56,15.05,63.9
2009,1764174,Ripley village,49,0.74,1.5,8.43,57.45
2009,1782218,Wilsonville village,264,5.31,2.01,15.28,70.99
2009,1704936,Bellmont village,128,7.72,6.03,83.88,67.04
2009,1769082,Shawneetown city,597,55.66,9.32,16.25,67.84
2009,1778942,Warsaw city,789,59.99,7.59,31.98,77.48
2009,1717458,Crest Hill city,7703,93.47,1.21,25.74,72.16
2009,1705404,Berkeley village,1918,16.27,0.85,34.58,79.64
2009,1749607,Minooka village,3694,588.08,15.92,15.92,84.68
2009,1738115,Jacksonville city,8161,400.28,4.9,23.15,53.67
2009,1740832,La Harpe city,603,245.72,40.68,1.19,71.67
2009,1777720,Versailles village,247,3.73,1.5,9.11,63.09
2009,1760079,Piper City village,371,25.16,6.78,74.1,70.08
2009,1734670,Highland city,4283,79.57,1.86,9.07,65.59
2009,1712801,Chebanse village,454,92.83,20.4,40.67,64.22
2009,1704689,Belgium village,191,11.69,6.12,29.3,68.44
2009,1717185,Crainville village,582,27.46,4.71,32.53,60.19
2009,1738375,Jerome village,884,27.46,3.11,42.15,56.25
2009,1761899,Princeton city,3678,238.88,6.49,4.38,68.63
2009,1731992,Gulf Port village,33,10.1,29.71,2.86,63.7
2009,1735671,Hollowayville village,28,0.84,3.0,11.89,79.23
2009,1716210,Cooksville village,90,63.04,70.04,0.4,64.45
2009,1746240,Malden village,143,19.24,13.36,9.9,70.1
2009,1714767,Clayton village,332,34.6,10.42,17.49,68.54
2009,1733136,Harrisburg city,4193,265.76,6.34,17.33,55.02
2009,1710643,Cambridge village,920,51.08,5.55,63.46,84.44
2009,1735411,Hoffman Estates village,18969,188.67,0.99,33.54,72.94
