name,id,avg_household_income,median_income,percent_poverty,per_capita_income
Abingdon city,1700113,52724,41851,12.7,20953
Adair CDP,1700178,54524,40625,1.4,23108
Addieville village,1700230,65234,57828,0.4,25369
Addison village,1700243,87735,59398,5.6,28357
Adeline village,1700295,67311,53535,0.2,29300
Albany village,1700516,89447,55705,1.0,38449
Albers village,1700555,85238,73569,1.1,29511
Albion city,1700568,49030,35107,5.9,21802
Aledo city,1700646,55413,40485,18.2,23870
Alexis village,1700672,64823,51190,0.6,27692
Algonquin village,1700685,112581,92574,1.3,38395
Alhambra village,1700737,74257,56099,1.6,26279
Allendale village,1700815,63538,54341,1.0,24211
Allenville village,1700867,80385,53283,0.2,34761
Allerton village,1700880,66590,58113,0.2,25400
Alma village,1700919,49592,41456,0.9,22936
Alorton village,1700958,31625,18464,13.9,11595
Alpha village,1700971,66619,56786,1.4,28891
Alsey village,1700997,65799,46235,0.5,26088
Alsip village,1701010,71422,53794,5.0,27829
Altamont city,1701049,65584,59069,6.1,26160
Alto Pass village,1701205,52646,42917,3.4,19389
Alton city,1701114,49219,36360,10.2,20726
Altona village,1701140,61694,48944,0.6,24863
Alvan village,1701242,67646,58867,0.3,25054
Amboy city,1701270,59600,46364,3.3,23435
Anchor village,1701361,72903,55368,0.5,30460
Andalusia village,1701426,73763,64764,2.5,28553
Andover village,1701491,64071,58378,0.9,25385
Anna city,1701543,50274,36459,6.9,21425
Annapolis CDP,1701556,81172,59265,0.2,26566
Annawan town,1701569,74403,57084,1.2,32202
Antioch village,1701595,94747,82541,3.6,32784
Apple Canyon Lake CDP,1701647,64151,49469,1.2,31730
Apple River village,1701673,64151,49469,0.8,27168
Arcola city,1701881,69341,49900,12.7,25087
Arenzville village,1701946,59468,48510,1.2,24427
Argenta village,1701972,75760,58112,1.2,30080
Arlington Heights village,1702154,105774,75834,2.4,43547
Arlington village,1702102,54393,45319,0.5,21137
Armington village,1702206,70013,54273,0.3,26944
Aroma Park village,1702258,86000,64530,0.5,33104
Arrowsmith village,1702342,87419,59086,0.7,32708
Arthur village,1702414,70730,52442,1.6,29090
Ashkum village,1702479,70070,53423,1.4,28359
Ashland village,1702505,60000,46802,7.4,24576
Ashley city,1702531,69346,56291,0.6,31439
Ashmore village,1702557,73546,51301,1.9,29137
Ashton village,1702583,78823,57623,3.0,32681
Assumption city,1702609,52393,44910,1.9,22922
Astoria town,1702635,55837,43125,3.9,22853
Athens city,1702674,74640,63776,1.6,28609
Atkinson town,1702726,74434,50701,1.5,32852
Atlanta city,1702752,65812,50940,3.8,27927
Atwood village,1702882,62030,50165,1.1,26454
Auburn city,1702921,70297,62026,8.5,26183
Augusta village,1702986,53370,42649,2.2,24094
Aurora city,1703012,89355,61527,9.4,28249
Ava city,1703103,62678,57802,2.0,27218
Aviston village,1703181,85546,76005,0.8,30348
Avon village,1703207,57488,41833,2.8,24319
Baldwin village,1703454,59977,51250,1.7,23476
Banner village,1703571,55062,47112,0.5,20976
Bannockburn village,1703610,164814,134509,0.3,37273
Bardolph village,1703675,54524,40625,1.7,23026
Barrington Hills village,1703883,162138,104575,0.4,57821
Barrington village,1703844,157309,108660,1.8,59545
