countyname,state,fipscounty,cbsa,cbsaname
MENARD,IL,17129,44100,"Springfield, IL"
SANGAMON,IL,17167,44100,"Springfield, IL"
BOND,IL,17005,41180,"St. Louis, MO-IL"
CALHOUN,IL,17013,41180,"St. Louis, MO-IL"
CLINTON,IL,17027,41180,"St. Louis, MO-IL"
JERSEY,IL,17083,41180,"St. Louis, MO-IL"
MACOUPIN,IL,17117,41180,"St. Louis, MO-IL"
MADISON,IL,17119,41180,"St. Louis, MO-IL"
MONROE,IL,17133,41180,"St. Louis, MO-IL"
ST. CLAIR,IL,17163,41180,"St. Louis, MO-IL"
BOONE,IL,17007,40420,"Rockford, IL"
WINNEBAGO,IL,17201,40420,"Rockford, IL"
MARSHALL,IL,17123,37900,"Peoria, IL"
PEORIA,IL,17143,37900,"Peoria, IL"
STARK,IL,17175,37900,"Peoria, IL"
TAZEWELL,IL,17179,37900,"Peoria, IL"
WOODFORD,IL,17203,37900,"Peoria, IL"
LAKE,IL,17097,29404,"Lake County-Kenosha County, IL-WI"
KANKAKEE,IL,17091,28100,"Kankakee-Bradley, IL"
MACON,IL,17115,19500,"Decatur, IL"
HENRY,IL,17073,19340,"Davenport-Moline-Rock Island, IA-IL"
MERCER,IL,17131,19340,"Davenport-Moline-Rock Island, IA-IL"
ROCK ISLAND,IL,17161,19340,"Davenport-Moline-Rock Island, IA-IL"
VERMILION,IL,17183,19180,"Danville, IL"
COOK,IL,17031,16974,"Chicago-Naperville-Joliet, IL"
DE KALB,IL,17037,16974,"Chicago-Naperville-Joliet, IL"
DU PAGE,IL,17043,16974,"Chicago-Naperville-Joliet, IL"
GRUNDY,IL,17063,16974,"Chicago-Naperville-Joliet, IL"
KANE,IL,17089,16974,"Chicago-Naperville-Joliet, IL"
KENDALL,IL,17093,16974,"Chicago-Naperville-Joliet, IL"
MC HENRY,IL,17111,16974,"Chicago-Naperville-Joliet, IL"
WILL,IL,17197,16974,"Chicago-Naperville-Joliet, IL"
CHAMPAIGN,IL,17019,16580,"Champaign-Urbana, IL"
FORD,IL,17053,16580,"Champaign-Urbana, IL"
PIATT,IL,17147,16580,"Champaign-Urbana, IL"
MC LEAN,IL,17113,14060,"Bloomington-Normal, IL"
ADAMS,IL,17001,99,na
ALEXANDER,IL,17003,99,na
BROWN,IL,17009,99,na
BUREAU,IL,17011,99,na
CARROLL,IL,17015,99,na
CASS,IL,17017,99,na
CHRISTIAN,IL,17021,99,na
CLARK,IL,17023,99,na
CLAY,IL,17025,99,na
COLES,IL,17029,99,na
CRAWFORD,IL,17033,99,na
CUMBERLAND,IL,17035,99,na
DE WITT,IL,17039,99,na
DOUGLAS,IL,17041,99,na
EDGAR,IL,17045,99,na
EDWARDS,IL,17047,99,na
EFFINGHAM,IL,17049,99,na
FAYETTE,IL,17051,99,na
FRANKLIN,IL,17055,99,na
FULTON,IL,17057,99,na
GALLATIN,IL,17059,99,na
GREENE,IL,17061,99,na
HAMILTON,IL,17065,99,na
HANCOCK,IL,17067,99,na
HARDIN,IL,17069,99,na
HENDERSON,IL,17071,99,na
IROQUOIS,IL,17075,99,na
JACKSON,IL,17077,99,na
JASPER,IL,17079,99,na
JEFFERSON,IL,17081,99,na
JO DAVIESS,IL,17085,99,na
JOHNSON,IL,17087,99,na
KNOX,IL,17095,99,na
LA SALLE,IL,17099,99,na
LAWRENCE,IL,17101,99,na
LEE,IL,17103,99,na
LIVINGSTON,IL,17105,99,na
LOGAN,IL,17107,99,na
MC DONOUGH,IL,17109,99,na
MARION,IL,17121,99,na
MASON,IL,17125,99,na
MASSAC,IL,17127,99,na
MONTGOMERY,IL,17135,99,na
MORGAN,IL,17137,99,na
MOULTRIE,IL,17139,99,na
OGLE,IL,17141,99,na
PERRY,IL,17145,99,na
PIKE,IL,17149,99,na
POPE,IL,17151,99,na
PULASKI,IL,17153,99,na
PUTNAM,IL,17155,99,na
RANDOLPH,IL,17157,99,na
RICHLAND,IL,17159,99,na
SALINE,IL,17165,99,na
SCHUYLER,IL,17169,99,na
SCOTT,IL,17171,99,na
SHELBY,IL,17173,99,na
STEPHENSON,IL,17177,99,na
UNION,IL,17181,99,na
WABASH,IL,17185,99,na
WARREN,IL,17187,99,na
WASHINGTON,IL,17189,99,na
WAYNE,IL,17191,99,na
WHITE,IL,17193,99,na
WHITESIDE,IL,17195,99,na
WILLIAMSON,IL,17199,99,na
STATEWIDE,IL,17990,99,na
