"senator","district","party"
"Pamela J. Althoff","32","R"
"Jason A. Barickman","53","R"
"Jennifer Bertino-Tarrant","49","D"
"Daniel Biss","9","D"
"Tim Bivins","45","R"
"William E. Brady","44","R"
"Melinda Bush","31","D"
"James F. Clayborne, Jr.","57","D"
"Jacqueline Y. Collins","16","D"
"Michael Connelly","21","R"
"John J. Cullerton","6","D"
"Thomas Cullerton","23","D"
"Bill Cunningham","18","D"
"William Delgado","2","D"
"Kirk W. Dillard","24","R"
"Dan Duffy","26","R"
"Gary Forby","59","D"
"Michael W. Frerichs","52","D"
"William R. Haine","56","D"
"Don Harmon","39","D"
"Napoleon Harris, III","15","D"
"Michael E. Hastings","19","D"
"Linda Holmes","42","D"
"Mattie Hunter","3","D"
"Toi W. Hutchinson","40","D"
"Mike Jacobs","36","D"
"Emil Jones, III","14","D"
"David Koehler","46","D"
"Dan Kotowski","28","D"
"Darin M. LaHood","37","R"
"Steven M. Landek","12","D"
"Kimberly A. Lightford","4","D"
"Terry Link","30","D"
"David S. Luechtefeld","58","R"
"Andy Manar","48","D"
"Iris Y. Martinez","20","D"
"Wm. Sam McCann","50","R"
"Kyle McCarter","54","R"
"Karen McConnaughay","33","R"
"Pat McGuire","43","D"
"Julie A. Morrison","29","D"
"John G. Mulroe","10","D"
"Antonio Muñoz","1","D"
"Matt Murphy","27","R"
"Michael Noland","22","D"
"Jim Oberweis","25","R"
"Christine Radogno","41","R"
"Kwame Raoul","13","D"
"Sue Rezin","38","R"
"Dale A. Righter","55","R"
"Chapin Rose","51","R"
"Martin A. Sandoval","11","D"
"Ira I. Silverstein","8","D"
"Steve Stadelman","34","D"
"Heather A. Steans","7","D"
"John M. Sullivan","47","D"
"Dave Syverson","35","R"
"Donne E. Trotter","17","D"
"Patricia Van Pelt","5","D"
