year,tract_id,tract_name,num_tracts,num_vacants,pct_vacant,pct_change,pct_owner_occupied
2013,17101,Lawrence County,6936,1302.5,18.78,4.85,64.03
2013,17025,Clay County,6404,1117.5,17.45,8.89,67.88
2013,17181,Union County,7924,946.5,11.94,3.25,63.81
2013,17023,Clark County,7772,828.5,10.66,1.5,64.35
2013,17173,Shelby County,10396,1166.5,11.22,4.64,70.4
2013,15900,"Canton, IL",16194,2852.75,17.62,3.91,67.41
2013,23660,"Galesburg, IL",31759,4703.0,14.81,7.81,61.37
2013,40300,"Rochelle, IL",22561,3430.75,15.21,3.13,68.68
2013,25380,"Harrisburg, IL",11697,1802.0,15.41,13.87,64.78
2013,19340,"Davenport-Moline-Rock Island, IA-IL",111480,11064.0,9.92,12.41,67.24
2013,16660,"Charleston-Mattoon, IL",28298,1933.5,6.83,8.55,58.71
2013,37900,"Peoria, IL",164283,22878.0,13.93,6.56,67.28
2013,17045,Edgar County,8803,1017.5,11.56,19.25,67.23
2013,17047,Edwards County,3186,1455.0,45.65,151.62,68.59
2013,17041,Douglas County,8390,837.75,9.99,12.04,71.18
2013,17149,Pike County,7951,1260.0,15.85,5.29,64.7
2013,16580,"Champaign-Urbana, IL",101120,10708.75,10.59,16.56,52.31
2013,39500,"Quincy, IL-MO",34377,3151.25,9.17,26.58,66.06
2013,17145,Perry County,9426,1051.25,11.15,22.13,67.84
2013,17069,Hardin County,2488,223.0,8.96,36.6,60.77
2013,16980,"Chicago-Naperville-Elgin, IL-IN-WI",3797246,259395.0,6.83,23.42,60.11
2013,32060,"Marion-Herrin, IL",30358,3999.25,13.17,54.29,63.02
2013,17125,Mason County,7077,1488.5,21.03,3.17,72.06
2013,23300,"Freeport, IL",22081,3226.75,14.61,-10.59,64.05
2013,19500,"Decatur, IL",50474,5359.75,10.62,16.43,62.08
2013,17189,Washington County,6534,667.75,10.22,13.23,74.41
2013,44580,"Sterling, IL",25770,2211.25,8.58,1.73,68.72
2013,17075,Iroquois County,13452,2274.0,16.9,9.01,67.21
2013,16060,"Carbondale, IL",28578,3983.75,13.94,22.52,44.05
2013,27300,"Jacksonville, IL",17974,1886.5,10.5,8.12,63.56
2013,28100,"Kankakee-Bradley, IL",45246,5726.75,12.66,5.12,62.78
2013,16020,"Cape Girardeau-Jackson, MO-IL",42499,3619.5,8.52,15.72,61.02
2013,44100,"Springfield, IL",95554,11635.0,12.18,3.18,65.77
2013,41180,"St. Louis, MO-IL",1225205,115060.0,9.39,20.38,63.76
2013,17193,White County,7181,1164.5,16.22,31.25,68.88
2013,19180,"Danville, IL",36317,4030.25,11.1,17.58,62.13
2013,17191,Wayne County,7974,781.0,9.79,5.68,69.38
2013,16460,"Centralia, IL",18295,2284.5,12.49,6.03,65.07
2013,17059,Gallatin County,2746,456.75,16.63,29.03,68.1
2013,17033,Crawford County,8661,787.5,9.09,9.6,72.44
2013,30660,"Lincoln, IL",12106,1738.75,14.36,-1.32,63.46
2013,34500,"Mount Vernon, IL",21058,2209.5,10.49,10.46,65.97
2013,17153,Pulaski County,3155,485.75,15.4,4.69,60.38
2013,17039,De Witt County,7521,1551.5,20.63,-45.84,69.75
2013,36860,"Ottawa-Streator, IL",68771,12704.75,18.47,5.5,68.2
2013,17139,Moultrie County,6260,2298.75,36.72,-5.72,71.85
2013,38700,"Pontiac, IL",15895,2794.0,17.58,1.62,67.2
2013,17151,Pope County,2491,815.25,32.73,270.15,57.65
2013,40420,"Rockford, IL",145935,16654.0,11.41,10.66,62.66
2013,17157,Randolph County,13707,1495.0,10.91,13.84,65.66
2013,45380,"Taylorville, IL",15563,2287.25,14.7,4.67,67.47
2013,19940,"Dixon, IL",15048,2609.75,17.34,7.11,67.75
2013,17051,Fayette County,9302,926.25,9.96,-5.39,71.35
2013,15460,"Burlington, IA-IL",22361,2837.25,12.69,9.63,67.52
2013,17159,Richland County,7513,848.0,11.29,16.56,68.55
2013,17135,Montgomery County,13079,1259.25,9.63,1.96,65.93
2013,17017,Cass County,5836,867.75,14.87,1.67,61.46
2013,14060,"Bloomington-Normal, IL",69656,11815.75,16.96,3.62,61.51
2013,17015,Carroll County,8437,1974.0,23.4,-35.95,60.82
2013,17009,Brown County,2462,313.75,12.74,32.8,62.27
2013,22800,"Fort Madison-Keokuk, IA-IL-MO",75224,6464.5,8.59,9.74,64.76
2013,17061,Greene County,6388,576.75,9.03,8.16,69.46
2013,20820,"Effingham, IL",14570,940.25,6.45,13.73,73.86
2013,17055,Franklin County,18525,2137.75,11.54,14.36,67.12
2013,17085,Jo Daviess County,13574,3912.25,28.82,-35.08,56.57
2013,17087,Johnson County,5598,1241.5,22.18,13.07,63.34
2013,17169,Schuyler County,3459,424.0,12.26,5.6,72.33
2013,17067,Hancock County,9273,1903.75,20.53,9.6,68.02
2013,37140,"Paducah, KY-IL",46900,4492.0,9.58,7.53,62.01
2013,17185,Wabash County,5585,433.25,7.76,12.97,67.18
2013,31380,"Macomb, IL",14419,2122.25,14.72,3.97,54.16
2013,17079,Jasper County,4344,378.25,8.71,11.66,76.16
