tract_id,tract_name,male_wf,male_emp,pct_male_emp,female_wf,female_emp,pct_female_emp,total_wf,total_emp,pct_total_emp
17009,Brown County,3817,1659,43.46,2083,1223,58.71,5899,2883,48.87
17167,Sangamon County,74274,49940,67.24,84393,50270,59.57,158668,100208,63.16
17165,Saline County,9789,5532,56.51,10250,4001,39.03,20040,9533,47.57
17163,St. Clair County,98974,56569,57.16,111591,61447,55.06,210569,118017,56.05
17161,Rock Island County,57384,36982,64.45,61239,32642,53.3,118624,69623,58.69
17001,Adams County,26250,18452,70.29,27779,15224,54.8,54026,33675,62.33
17003,Alexander County,3119,1068,34.24,3045,1053,34.58,6163,2120,34.4
17005,Bond County,6761,3349,49.53,7936,4462,56.22,14699,7811,53.14
17007,Boone County,20415,12818,62.79,20258,10274,50.72,40670,23092,56.78
17169,Schuyler County,3200,2171,67.84,2945,1408,47.81,6145,3580,58.26
17153,Pulaski County,2317,846,36.51,2450,1188,48.49,4765,2035,42.71
17151,Pope County,1936,922,47.62,1659,769,46.35,3596,1690,47.0
17019,Champaign County,81435,50806,62.39,86874,46223,53.21,168313,97026,57.65
17157,Randolph County,15111,8635,57.14,12463,6210,49.83,27579,14842,53.82
17155,Putnam County,2324,1268,54.56,2482,1058,42.63,4805,2327,48.43
17013,Calhoun County,2101,1310,62.35,1981,1094,55.22,4083,2404,58.88
17159,Richland County,6414,3698,57.66,6611,2759,41.73,13026,6455,49.55
17011,Bureau County,13226,8903,67.31,14139,7378,52.18,27367,16279,59.48
17017,Cass County,5133,3321,64.7,5240,2955,56.39,10373,6276,60.5
17015,Carroll County,6158,3387,55.0,6317,3046,48.22,12476,6430,51.54
17081,Jefferson County,16268,9346,57.45,15039,7800,51.87,31305,17144,54.76
17083,Jersey County,8566,4923,57.47,9908,5073,51.2,18476,9995,54.1
17085,Jo Daviess County,9034,5193,57.48,9584,6032,62.94,18617,11227,60.31
17087,Johnson County,5800,2239,38.6,5075,1785,35.17,10876,4026,37.02
17089,Kane County,190579,129978,68.2,201402,117952,58.57,391979,247935,63.25
17027,Clinton County,15731,10640,67.64,14786,10166,68.75,30516,20805,68.18
17025,Clay County,5154,3258,63.21,5910,2227,37.68,11063,5485,49.58
17023,Clark County,6351,4404,69.34,6827,4257,62.36,13177,8661,65.73
17021,Christian County,14048,7935,56.48,14209,7841,55.18,28256,15778,55.84
17029,Coles County,20904,12642,60.48,24289,14816,61.0,45192,27458,60.76
17149,Pike County,6443,3837,59.55,6671,3060,45.87,13118,6900,52.6
17145,Perry County,10011,5595,55.89,8213,3582,43.61,18221,9177,50.36
17147,Piatt County,6366,4105,64.48,6809,3800,55.81,13175,7906,60.01
