year,tract_id,tract_name,num_tracts,num_vacants,pct_vacant,pct_change,pct_owner_occupied
2010,17009,Brown County,2462,134.0,5.44,6.77,62.27
2010,17167,Sangamon County,89900,7880.0,8.77,25.91,65.35
2010,17165,Saline County,11697,1180.0,10.09,18.92,64.78
2010,17163,St. Clair County,116249,9611.5,8.27,18.38,59.2
2010,17161,Rock Island County,65755,3572.75,5.43,20.65,65.43
2010,17001,Adams County,29842,1195.0,4.0,23.48,66.47
2010,17003,Alexander County,4006,1645.25,41.07,-2.69,50.7
2010,17005,Bond County,7089,589.5,8.32,33.52,69.04
2010,17007,Boone County,19969,2481.75,12.43,13.35,75.22
2010,17169,Schuyler County,3459,357.5,10.34,5.46,72.33
2010,17153,Pulaski County,3155,510.25,16.17,13.14,60.38
2010,17151,Pope County,2491,152.0,6.1,41.07,57.65
2010,17019,Champaign County,87568,6513.0,7.44,53.13,49.24
2010,17157,Randolph County,13707,1083.5,7.9,11.64,65.66
2010,17155,Putnam County,3073,1619.25,52.68,19.9,62.88
2010,17013,Calhoun County,2835,213.25,7.52,25.07,58.1
2010,17159,Richland County,7513,519.0,6.91,16.63,68.55
2010,17011,Bureau County,15720,2953.0,18.78,19.05,68.53
2010,17017,Cass County,5836,850.0,14.56,15.61,61.46
2010,17015,Carroll County,8437,1697.0,20.11,6.75,60.82
2010,17081,Jefferson County,16954,1345.5,7.94,13.95,65.49
2010,17083,Jersey County,9848,3003.25,30.5,-8.56,70.13
2010,17085,Jo Daviess County,13574,2541.0,18.72,16.44,56.57
2010,17087,Johnson County,5598,744.75,13.3,24.23,63.34
2010,17089,Kane County,182046,11808.25,6.49,19.65,70.87
2010,17027,Clinton County,15310,1248.75,8.16,39.37,75.6
2010,17025,Clay County,6404,1241.75,19.39,-23.87,67.88
2010,17023,Clark County,7772,620.75,7.99,16.63,64.35
2010,17021,Christian County,15563,1294.5,8.32,58.25,67.47
2010,17029,Coles County,23425,1184.5,5.06,22.65,56.32
2010,17149,Pike County,7951,614.75,7.73,-16.39,64.7
2010,17145,Perry County,9426,780.25,8.28,19.76,67.84
2010,17147,Piatt County,7269,706.0,9.71,67.2,73.82
2010,17141,Ogle County,22561,2805.25,12.43,5.1,68.68
2010,17143,Peoria County,83034,5181.25,6.24,20.63,61.11
2010,17093,Kendall County,40321,6852.5,16.99,19.84,79.89
2010,17091,Kankakee County,45246,4595.5,10.16,13.39,62.78
2010,17097,Lake County,260309,15368.75,5.9,14.94,71.07
2010,17095,Knox County,24077,3018.0,12.53,12.91,60.49
2010,17099,LaSalle County,49977,5095.0,10.19,32.8,68.42
2010,17031,Cook County,2180358,75817.75,3.48,38.96,52.29
2010,17033,Crawford County,8661,670.0,7.74,18.01,72.44
2010,17035,Cumberland County,4873,402.0,8.25,19.02,70.19
2010,17037,DeKalb County,41078,6178.5,15.04,12.57,56.95
2010,17039,De Witt County,7521,1666.75,22.16,168.94,69.75
2010,17139,Moultrie County,6260,365.25,5.83,21.45,71.85
2010,17131,Mercer County,7357,1154.25,15.69,12.45,73.87
2010,17133,Monroe County,13392,707.0,5.28,18.08,76.28
2010,17135,Montgomery County,13079,943.25,7.21,30.19,65.93
2010,17137,Morgan County,15515,1375.75,8.87,31.24,63.64
2010,17203,Woodford County,15145,4832.0,31.9,6.63,77.54
2010,17201,Winnebago County,125965,8927.25,7.09,15.02,60.67
2010,17045,Edgar County,8803,647.75,7.36,18.42,67.23
2010,17047,Edwards County,3186,278.5,8.74,11.07,68.59
2010,17129,Menard County,5654,2891.0,51.13,5.3,72.34
2010,17041,Douglas County,8390,604.0,7.2,15.93,71.18
2010,17043,DuPage County,356178,8867.0,2.49,29.74,70.63
2010,17123,Marshall County,5914,2032.25,34.36,7.8,70.36
2010,17121,Marion County,18295,1703.75,9.31,10.28,65.07
2010,17049,Effingham County,14570,690.0,4.74,20.47,73.86
2010,17127,Massac County,7112,812.75,11.43,37.06,67.83
2010,17125,Mason County,7077,1275.0,18.02,26.33,72.06
2010,17117,Macoupin County,21583,1631.25,7.56,39.16,69.19
2010,17115,Macon County,50474,4214.25,8.35,16.84,62.08
2010,17113,McLean County,69656,9628.75,13.82,15.41,61.51
2010,17111,McHenry County,116039,9778.75,8.43,18.85,77.79
2010,17119,Madison County,117105,5199.5,4.44,11.43,67.28
2010,17057,Fulton County,16194,2550.0,15.75,14.84,67.41
2010,17055,Franklin County,18525,1250.0,6.75,19.59,67.12
2010,17053,Ford County,6281,516.75,8.23,22.24,70.17
2010,17051,Fayette County,9302,796.5,8.56,-4.18,71.35
2010,17059,Gallatin County,2746,311.75,11.35,10.55,68.1
2010,17101,Lawrence County,6936,340.0,4.9,-1.45,64.03
2010,17103,Lee County,15048,1909.0,12.69,34.89,67.75
2010,17105,Livingston County,15895,2113.5,13.3,19.07,67.2
2010,17107,Logan County,12106,1584.75,13.09,17.69,63.46
2010,17109,McDonough County,14419,1813.75,12.58,20.92,54.16
2010,17063,Grundy County,19995,1918.25,9.59,35.95,68.47
2010,17061,Greene County,6388,481.0,7.53,12.71,69.46
2010,17067,Hancock County,9273,1161.0,12.52,8.48,68.02
2010,17065,Hamilton County,4104,410.75,10.01,-18.3,67.98
2010,17069,Hardin County,2488,204.0,8.2,16.07,60.77
2010,17199,Williamson County,30358,2225.75,7.33,25.96,63.02
2010,17197,Will County,237500,20906.5,8.8,13.61,78.18
2010,17195,Whiteside County,25770,1803.25,7.0,5.72,68.72
2010,17193,White County,7181,845.0,11.77,11.4,68.88
2010,17191,Wayne County,7974,686.5,8.61,36.08,69.38
2010,17175,Stark County,2674,1106.75,41.39,4.61,73.26
2010,17177,Stephenson County,22081,2600.25,11.78,4.0,64.05
2010,17171,Scott County,2458,218.5,8.89,31.83,63.03
2010,17079,Jasper County,4344,315.25,7.26,9.75,76.16
2010,17173,Shelby County,10396,904.25,8.7,11.91,70.4
2010,17075,Iroquois County,13452,1407.0,10.46,47.52,67.21
2010,17077,Jackson County,28578,2472.5,8.65,18.51,44.05
2010,17179,Tazewell County,57516,5664.25,9.85,28.11,72.88
2010,17071,Henderson County,3827,995.0,26.0,3.48,67.78
2010,17073,Henry County,22161,2622.5,11.83,11.58,72.7
