year,tract_id,tract_name,num_tracts,num_vacants,pct_vacant,pct_change,pct_owner_occupied
2011,1763641,Richmond village,1002,308.36,30.74,13.02,56.59
2011,1744498,Long Creek village,539,17.75,3.29,19.96,85.01
2011,1780125,West Dundee village,2945,97.02,3.29,-4.32,74.91
2011,1736347,Hoyleton village,213,12.81,6.01,-1.09,77.37
2011,1711293,Carmi city,2539,262.83,10.35,-1.61,65.83
2011,1727091,Forsyth village,1353,144.95,10.71,-8.23,87.71
2011,1773391,Sugar Grove village,3193,486.83,15.24,6.1,91.17
2011,1782985,Wood Dale city,5529,149.9,2.71,0.55,69.99
2011,1754534,Oak Brook village,3187,141.59,4.44,13.04,77.39
2011,1709681,Bureau Junction village,162,10.93,6.71,76.59,52.17
2011,1755002,Oakwood village,675,54.6,8.09,19.52,74.53
2011,1708225,Bridgeview village,5888,265.81,4.51,39.03,69.85
2011,1769875,Sidney village,505,78.44,15.53,12.73,79.48
2011,1765884,Rosewood Heights CDP,1752,38.39,2.19,19.19,77.44
2011,1751271,Muddy village,36,5.79,16.07,40.76,61.61
2011,1717991,Cuba city,564,173.14,30.64,0.83,76.26
2011,1756978,Otterville town,52,21.11,40.59,-2.29,80.43
2011,1709577,Bunker Hill city,745,89.69,12.04,46.82,83.5
2011,1704117,Batchtown village,109,8.28,7.53,5.48,63.66
2011,1739883,Kildeer village,1311,297.32,22.66,0.76,90.09
2011,1778708,Waltonville village,187,21.98,11.75,2.16,78.74
2011,1747280,Martinton village,151,16.37,10.77,4.53,82.1
2011,1708420,Broadlands village,147,22.83,15.53,12.7,77.29
2011,1783765,Yale village,43,4.16,9.46,8.69,70.25
2011,1769277,Sheridan village,321,68.76,21.42,23.85,177.45
2011,1701205,Alto Pass village,160,17.29,10.74,23.84,76.08
2011,1732408,Hamel village,337,28.01,8.31,3.71,83.0
2011,1755171,Odell village,454,116.19,25.54,11.82,50.83
2011,1756159,Oneida city,309,173.41,55.94,3.04,75.12
2011,1717523,Crete village,3386,61.07,1.8,44.86,82.49
2011,1778383,Waggoner village,114,36.23,31.5,80.59,72.58
2011,1783102,Woodland village,135,26.23,19.43,0.28,70.31
2011,1768458,Seaton village,94,23.6,25.11,-0.15,87.13
2011,1726454,Flora city,2355,316.41,13.44,3.85,53.49
2011,1732668,Hanna City village,584,68.54,11.74,2.48,72.25
2011,1774860,Thayer village,313,14.67,4.69,-1.7,59.42
2011,1779163,Waterman village,598,228.97,38.23,9.07,69.29
2011,1772624,Steward village,105,40.79,38.84,2.74,71.24
2011,1721254,Dupo village,1862,163.34,8.77,11.48,71.68
2011,1721579,East Brooklyn village,44,7.15,16.25,13.88,72.47
2011,1737257,Indian Head Park village,1927,87.82,4.56,20.75,78.44
2011,1750829,Mount Auburn village,219,39.87,18.12,13.81,66.86
2011,1750530,Morrison city,1869,74.81,4.0,7.44,63.9
2011,1764174,Ripley village,49,1.66,3.39,105.08,57.45
2011,1782218,Wilsonville village,264,13.46,5.1,38.51,70.99
2011,1704936,Bellmont village,128,11.94,9.33,18.0,67.04
2011,1769082,Shawneetown city,597,71.82,12.03,6.43,67.84
2011,1778942,Warsaw city,789,83.71,10.6,12.83,77.48
2011,1717458,Crest Hill city,7703,154.32,2.0,21.02,72.16
2011,1705404,Berkeley village,1918,32.31,1.68,18.78,79.64
2011,1749607,Minooka village,3694,673.43,18.23,2.11,84.68
2011,1738115,Jacksonville city,8161,502.32,6.15,6.31,53.67
2011,1740832,La Harpe city,603,259.03,42.89,2.33,71.67
2011,1777720,Versailles village,247,8.41,3.39,105.56,63.09
2011,1760079,Piper City village,371,43.85,11.82,43.72,70.08
2011,1734670,Highland city,4283,102.97,2.4,10.52,65.59
2011,1712801,Chebanse village,454,151.83,33.37,40.1,64.22
2011,1704689,Belgium village,191,14.87,7.79,8.71,68.44
2011,1717185,Crainville village,582,38.01,6.52,14.08,60.19
2011,1738375,Jerome village,884,44.88,5.08,28.89,56.25
2011,1761899,Princeton city,3678,313.26,8.51,8.54,68.63
2011,1731992,Gulf Port village,33,12.12,35.65,13.29,63.7
2011,1735671,Hollowayville village,28,1.88,6.71,77.15,79.23
2011,1716210,Cooksville village,90,64.15,71.28,0.18,64.45
2011,1746240,Malden village,143,22.12,15.36,2.31,70.1
2011,1714767,Clayton village,332,45.9,13.83,14.18,68.54
2011,1733136,Harrisburg city,4193,360.05,8.59,8.48,55.02
2011,1710643,Cambridge village,920,61.0,6.63,-3.24,84.44
2011,1735411,Hoffman Estates village,18969,308.74,1.63,37.02,72.94
2011,1764590,Roanoke village,867,539.24,62.2,-0.4,72.51
2011,1750647,Morton Grove village,9035,191.78,2.12,-8.58,83.23
2011,1710084,Bush village,134,8.0,5.97,17.82,61.04
2011,1701543,Anna city,2123,164.68,7.76,12.51,53.29
2011,1717077,Coyne Center CDP,349,31.75,9.1,5.97,91.69
2011,1749555,Minier village,545,252.22,46.19,6.85,67.73
2011,1775757,Topeka village,44,7.56,16.8,8.59,69.19
2011,1740767,La Grange village,5943,160.46,2.7,22.14,72.58
2011,1750790,Mound Station village,62,2.14,3.39,105.36,63.39
2011,1735073,Hillsdale village,237,36.23,15.22,-0.68,74.86
2011,1730029,Glenwood village,3505,79.29,2.26,33.55,71.64
2011,1748554,Merrionette Park village,950,3.94,0.41,-67.4,51.57
2011,1735307,Hinsdale village,5965,339.38,5.69,35.93,76.83
2011,1700230,Addieville village,110,11.53,10.39,15.98,76.87
2011,1780879,West Union CDP,140,13.52,9.66,12.98,69.2
2011,1777473,Venice city,916,94.5,10.32,-20.25,37.55
2011,1730757,Grand Ridge village,224,44.25,19.67,5.34,77.93
2011,1773170,Streator city,6271,622.02,9.92,12.55,65.96
2011,1746864,Marine village,421,37.08,8.81,14.56,78.6
2011,1724374,Erie village,678,202.55,29.87,0.47,75.21
2011,1743445,Lima village,69,7.27,10.54,139.94,68.09
2011,1754781,Oakland city,416,24.25,5.81,1.28,71.14
2011,1720526,Dover village,72,11.06,15.36,2.31,65.07
2011,1766287,Ruma village,124,19.88,15.91,16.54,73.37
2011,1748242,Melrose Park village,8524,439.59,5.16,7.8,50.94
2011,1744719,Loraine village,138,14.65,10.54,139.7,64.91
2011,1731576,Greenview village,368,157.08,42.57,-4.01,67.49
2011,1711592,Cary village,6257,311.64,4.98,2.83,86.33
2011,1729938,Glenview village,17745,469.44,2.65,12.6,74.08
2011,1748606,Metamora village,1483,673.15,45.39,6.98,73.84
2011,1723503,Ellis Grove village,159,14.71,9.19,3.66,74.4
2011,1727884,Freeport city,12396,1078.18,8.7,11.36,56.62
2011,1708303,Brimfield village,354,100.88,28.42,4.42,73.28
2011,1736190,Hopkins Park village,290,85.58,29.51,14.81,44.76
2011,1773547,Summerfield village,188,21.79,11.59,11.97,65.02
2011,1759273,Pesotum village,245,60.79,24.71,4.16,70.0
2011,1710513,Calumet Park village,3203,77.1,2.41,1.76,53.61
2011,1736750,Huntley village,10499,1612.32,15.36,2.84,76.07
2011,1709148,Brussels village,70,5.34,7.53,5.41,64.99
2011,1743939,Lisle village,9915,179.19,1.81,5.91,59.73
2011,1722567,Edgewood village,224,21.49,9.55,16.88,66.5
2011,1778175,Virgil village,118,14.64,12.41,7.71,83.05
2011,1707471,Bourbonnais village,6445,795.33,12.34,5.33,64.19
2011,1764759,Rochester village,1400,72.33,5.16,6.36,93.4
2011,1727533,Fox River Grove village,1856,83.24,4.48,15.05,83.78
2011,1751206,Mount Zion village,2324,74.23,3.19,4.55,78.78
2011,1759052,Peotone village,1581,324.27,20.5,1.04,87.78
2011,1771604,Spring Bay village,207,41.61,20.0,2.74,78.22
2011,1780060,West Chicago city,7762,253.9,3.27,-1.84,77.26
2011,1715352,Coffeen city,314,18.18,5.77,5.74,43.57
2011,1752467,New Grand Chain village,119,17.03,14.31,23.55,55.13
2011,1718420,Dallas City city,491,81.04,16.47,21.61,60.73
2011,1765962,Rossville village,600,126.01,20.97,1.67,64.27
2011,1775653,Toluca city,640,383.81,59.97,-0.33,69.7
2011,1727624,Frankfort village,6070,1221.87,20.13,-1.85,90.13
2011,1752311,New Canton town,177,38.43,21.59,237.96,70.3
2011,1712008,Cedarville village,325,54.08,16.64,2.54,78.95
2011,1718641,Darmstadt CDP,29,2.93,10.1,9.75,76.31
2011,1778370,Wadsworth village,1382,83.49,6.04,4.41,83.87
2011,1769212,Sheldon village,485,94.25,19.43,0.27,64.63
2011,1726467,Floraville CDP,25,1.36,5.24,-3.39,65.81
2011,1742405,Lawrenceville city,2271,190.55,8.39,13.32,53.67
2011,1772702,Stillman Valley village,446,126.44,28.29,4.2,74.42
2011,1703571,Banner village,83,6.1,7.27,19.7,78.32
2011,1726662,Foosland village,50,8.8,17.6,12.99,64.56
2011,1730835,Grandview village,684,21.12,3.09,2.51,62.88
2011,1749802,Modesto village,92,22.01,23.67,2.24,64.3
