tract_id,tract_name,male_wf,male_emp,pct_male_emp,female_wf,female_emp,pct_female_emp,total_wf,total_emp,pct_total_emp
17101,Lawrence County,7356,1753,23.83,6473,4073,62.92,13829,5825,42.12
17025,Clay County,5154,3258,63.21,5910,2227,37.68,11063,5485,49.58
17181,Union County,7187,3951,54.97,7212,3279,45.47,14400,7228,50.19
17023,Clark County,6351,4404,69.34,6827,4257,62.36,13177,8661,65.73
17173,Shelby County,8906,4751,53.35,9189,3884,42.27,18093,8636,47.73
15900,"Canton, IL",14677,6933,47.24,15522,8128,52.36,30198,15060,49.87
23660,"Galesburg, IL",28110,15061,53.58,29451,14474,49.15,57564,29542,51.32
40300,"Rochelle, IL",20537,12826,62.45,21077,11485,54.49,41616,24314,58.42
25380,"Harrisburg, IL",9789,5532,56.51,10250,4001,39.03,20040,9533,47.57
19340,"Davenport-Moline-Rock Island, IA-IL",97623,62678,64.2,102893,56004,54.43,200513,118678,59.19
16660,"Charleston-Mattoon, IL",25339,15092,59.56,28643,17297,60.39,53980,32390,60.0
37900,"Peoria, IL",144063,88116,61.16,157324,86570,55.03,301384,174679,57.96
17045,Edgar County,7446,4993,67.06,7316,3455,47.23,14763,8449,57.23
17047,Edwards County,2536,1448,57.1,2785,1219,43.77,5321,2666,50.1
17041,Douglas County,7423,4977,67.05,7875,4180,53.08,15298,9153,59.83
17149,Pike County,6443,3837,59.55,6671,3060,45.87,13118,6900,52.6
16580,"Champaign-Urbana, IL",92888,58327,62.79,99698,53431,53.59,192590,111759,58.03
39500,"Quincy, IL-MO",30375,20620,67.88,31701,17379,54.82,62071,37998,61.22
17145,Perry County,10011,5595,55.89,8213,3582,43.61,18221,9177,50.36
17069,Hardin County,1814,759,41.84,1651,693,41.97,3465,1451,41.88
16980,"Chicago-Naperville-Elgin, IL-IN-WI",3590480,2300793,64.08,3870521,2159639,55.8,7460977,4460426,59.78
32060,"Marion-Herrin, IL",27069,14738,54.45,26845,14041,52.3,53915,28782,53.38
17125,Mason County,5553,2893,52.1,6195,2710,43.74,11752,5603,47.68
23300,"Freeport, IL",18327,9802,53.48,19674,11439,58.14,38000,21242,55.9
19500,"Decatur, IL",41370,24828,60.01,47028,23087,49.09,88399,47921,54.21
17189,Washington County,5963,4192,70.3,5819,3723,63.98,11784,7920,67.21
44580,"Sterling, IL",22733,13346,58.71,23756,12303,51.79,46489,25651,55.18
17075,Iroquois County,11568,6792,58.71,11942,7097,59.43,23511,13884,59.05
16060,"Carbondale, IL",25347,11703,46.17,25380,11651,45.91,50728,23355,46.04
27300,"Jacksonville, IL",16454,10256,62.33,16709,9459,56.61,33158,19715,59.46
28100,"Kankakee-Bradley, IL",42536,21915,51.52,46207,25399,54.97,88739,47309,53.31
16020,"Cape Girardeau-Jackson, MO-IL",38198,22399,58.64,40550,21942,54.11,78750,44339,56.3
44100,"Springfield, IL",79070,52800,66.78,89744,53564,59.69,168816,106360,63.0
41180,"St. Louis, MO-IL",1054604,675961,64.1,1172834,675712,57.61,2227458,1351684,60.68
17193,White County,6001,3486,58.09,5943,2910,48.97,11945,6397,53.55
19180,"Danville, IL",33303,18205,54.66,30612,14368,46.94,63913,32575,50.97
17191,Wayne County,6642,3922,59.05,6701,3309,49.38,13342,7231,54.2
16460,"Centralia, IL",15343,8901,58.01,15887,8234,51.83,31230,17135,54.87
17059,Gallatin County,2207,1214,55.01,2258,1141,50.53,4464,2352,52.69
17033,Crawford County,8139,4007,49.23,8118,4265,52.54,16258,8273,50.89
30660,"Lincoln, IL",11992,4656,38.83,12826,8096,63.12,24819,12753,51.38
34500,"Mount Vernon, IL",19555,11399,58.29,18507,8985,48.55,38060,20382,53.55
17153,Pulaski County,2317,846,36.51,2450,1188,48.49,4765,2035,42.71
17039,De Witt County,6600,3976,60.24,6722,3472,51.65,13322,7448,55.91
36860,"Ottawa-Streator, IL",61373,36883,60.1,61857,32662,52.8,123237,69543,56.43
17139,Moultrie County,5776,3560,61.63,5917,2699,45.61,11690,6260,53.55
38700,"Pontiac, IL",15475,8505,54.96,16041,6312,39.35,31518,14817,47.01
17151,Pope County,1936,922,47.62,1659,769,46.35,3596,1690,47.0
40420,"Rockford, IL",130753,77845,59.54,139246,75838,54.46,269993,153677,56.92
17157,Randolph County,15111,8635,57.14,12463,6210,49.83,27579,14842,53.82
45380,"Taylorville, IL",14048,7935,56.48,14209,7841,55.18,28256,15778,55.84
19940,"Dixon, IL",16232,8078,49.77,12562,7052,56.14,28793,15130,52.55
17051,Fayette County,9588,4749,49.53,8188,4157,50.77,17775,8906,50.1
15460,"Burlington, IA-IL",18326,11470,62.59,19314,10414,53.92,37645,21887,58.14
17159,Richland County,6414,3698,57.66,6611,2759,41.73,13026,6455,49.55
17135,Montgomery County,12380,4856,39.22,11721,6476,55.25,24102,11330,47.01
17017,Cass County,5133,3321,64.7,5240,2955,56.39,10373,6276,60.5
14060,"Bloomington-Normal, IL",65737,43049,65.49,72616,42078,57.95,138359,85129,61.53
17015,Carroll County,6158,3387,55.0,6317,3046,48.22,12476,6430,51.54
17009,Brown County,3817,1659,43.46,2083,1223,58.71,5899,2883,48.87
22800,"Fort Madison-Keokuk, IA-IL-MO",66648,43435,65.17,71514,41457,57.97,138157,84896,61.45
17061,Greene County,5716,2887,50.51,5277,3137,59.45,10996,6026,54.8
20820,"Effingham, IL",13279,9182,69.15,14021,8219,58.62,27301,17400,63.73
17055,Franklin County,15436,8425,54.58,16319,7437,45.57,31759,15861,49.94
17085,Jo Daviess County,9034,5193,57.48,9584,6032,62.94,18617,11227,60.31
17087,Johnson County,5800,2239,38.6,5075,1785,35.17,10876,4026,37.02
17169,Schuyler County,3200,2171,67.84,2945,1408,47.81,6145,3580,58.26
17067,Hancock County,7648,4428,57.9,7720,4368,56.58,15370,8796,57.23
37140,"Paducah, KY-IL",37964,22300,58.74,41781,21214,50.77,79744,43516,54.57
17185,Wabash County,4361,2912,66.77,5113,2941,57.52,9474,5853,61.78
31380,"Macomb, IL",13737,8121,59.12,14347,8338,58.12,28082,16456,58.6
17079,Jasper County,3793,2027,53.44,3963,2446,61.72,7755,4473,57.68
