tract_id,tract_name,male_wf,male_emp,pct_male_emp,female_wf,female_emp,pct_female_emp,total_wf,total_emp,pct_total_emp
17031802801,17031802801,1922,1236,64.31,1855,1019,54.93,3777,2255,59.7
17031071600,17031071600,695,577,83.02,759,581,76.55,1454,1158,79.64
17043845510,17043845510,1235,877,71.01,1467,799,54.46,2702,1676,62.03
17197880307,17197880307,2191,1794,81.88,2329,1477,63.42,4520,3271,72.37
17093890600,17093890600,3467,2319,66.89,3982,2513,63.11,7450,4833,64.87
17031461000,17031461000,637,173,27.16,618,200,32.36,1255,373,29.72
17031843900,17031843900,1278,643,50.31,1754,1058,60.32,3032,1701,56.1
17097860809,17097860809,1315,774,58.86,1164,676,58.08,2478,1450,58.51
17187870200,17187870200,1098,595,54.19,1117,618,55.33,2215,1216,54.9
17135958000,17135958000,3841,435,11.33,1437,770,53.58,5278,1204,22.81
17197880303,17197880303,1524,1189,78.02,1608,1071,66.6,3132,2260,72.16
17031815300,17031815300,1494,928,62.12,1407,935,66.45,2901,1863,64.22
17031160200,17031160200,1330,844,63.46,1320,909,68.86,2650,1753,66.15
17163501603,17163501603,2240,1578,70.45,2803,1651,58.9,5043,3229,64.03
17163501602,17163501602,2309,1322,57.25,2115,1164,55.04,4424,2486,56.19
17163501605,17163501605,981,529,53.92,1197,726,60.65,2178,1255,57.62
17163501604,17163501604,1765,1081,61.25,1925,1268,65.87,3690,2349,63.66
17201001400,17201001400,1362,899,66.01,1645,829,50.4,3007,1728,57.47
17031804609,17031804609,2411,1777,73.7,2370,1637,69.07,4781,3414,71.41
17031804608,17031804608,1377,996,72.33,1758,1204,68.49,3135,2200,70.18
17031804607,17031804607,2760,1975,71.56,2976,2101,70.6,5735,4075,71.05
17031804606,17031804606,2762,2182,79.0,2898,1985,68.5,5660,4168,73.64
17097860807,17097860807,1467,791,53.92,1523,779,51.15,2990,1570,52.51
17031804603,17031804603,2223,1700,76.47,2331,1430,61.35,4554,3130,68.73
17057953600,17057953600,1619,944,58.31,2113,1063,50.31,3732,2007,53.78
17031380500,17031380500,178,136,76.4,347,199,57.35,525,335,63.81
17165955500,17165955500,770,483,62.73,1214,490,40.36,1984,973,49.04
17031350400,17031350400,114,34,29.82,173,54,31.21,287,88,30.66
17019010900,17019010900,3549,2634,74.22,3947,2465,62.45,7496,5100,68.04
17197880308,17197880308,2772,2152,77.63,2907,1724,59.31,5680,3876,68.24
17197880420,17197880420,3427,2605,76.01,3456,2071,59.92,6883,4676,67.94
17197880421,17197880421,2264,1459,64.44,2056,1112,54.09,4320,2571,59.51
17043846104,17043846104,1593,1191,74.76,1741,1180,67.78,3332,2372,71.19
17031750300,17031750300,1017,755,74.24,890,578,64.94,1907,1333,69.9
17089854301,17089854301,2434,1657,68.08,2906,1506,51.82,5340,3163,59.23
17089854302,17089854302,2026,1344,66.34,1910,1207,63.19,3936,2551,64.81
17201980000,17201980000,1,0,0.0,1,0,0.0,2,0,0.0
17121952000,17121952000,1652,1017,61.56,1870,934,49.95,3522,1951,55.39
17031840100,17031840100,1252,733,58.55,1166,616,52.83,2418,1349,55.79
17031560300,17031560300,1201,783,65.2,1235,606,49.07,2436,1389,57.02
17167003202,17167003202,1468,1073,73.09,1688,1156,68.48,3156,2229,70.63
17031801702,17031801702,1549,1153,74.44,1832,1096,59.83,3381,2249,66.52
17031801701,17031801701,1347,918,68.15,1401,767,54.75,2748,1685,61.32
17031020100,17031020100,1294,982,75.89,1842,990,53.75,3136,1972,62.88
17141961000,17141961000,2652,1715,64.67,2597,1620,62.38,5250,3336,63.54
17097862100,17097862100,1852,1210,65.33,1868,1142,61.13,3720,2352,63.23
17195000300,17195000300,1265,726,57.39,1438,711,49.44,2703,1437,53.16
17073031100,17073031100,1111,773,69.58,1038,604,58.19,2149,1377,64.08
17119401000,17119401000,903,566,62.68,1153,574,49.78,2055,1140,55.47
17147954800,17147954800,1068,675,63.2,1080,561,51.94,2149,1237,57.56
17103000100,17103000100,1187,749,63.1,1097,672,61.26,2283,1421,62.24
17043845902,17043845902,1250,842,67.36,1642,861,52.44,2892,1703,58.89
17197881900,17197881900,1175,577,49.11,1522,709,46.58,2697,1286,47.68
17043845901,17043845901,1418,1028,72.5,1469,640,43.57,2887,1668,57.78
17119403531,17119403531,3073,2157,70.19,3321,2128,64.08,6394,4285,67.02
17119403533,17119403533,3778,2622,69.4,4101,2379,58.01,7878,5001,63.48
17119403532,17119403532,2149,959,44.63,1444,797,55.19,3593,1756,48.87
17119403534,17119403534,1715,1142,66.59,1750,1008,57.6,3466,2151,62.06
17031420600,17031420600,670,332,49.55,1012,371,36.66,1682,703,41.8
17091010602,17091010602,2303,1110,48.2,2253,1491,66.18,4556,2601,57.09
17031230300,17031230300,421,239,56.77,321,156,48.6,742,395,53.23
17099962400,17099962400,1551,896,57.77,1578,921,58.37,3130,1816,58.02
17031814900,17031814900,2415,1499,62.07,2224,1173,52.74,4639,2672,57.6
17031470100,17031470100,1145,580,50.66,1187,533,44.9,2332,1113,47.73
17031720600,17031720600,716,456,63.69,612,379,61.93,1328,835,62.88
17031310800,17031310800,1895,1432,75.57,1491,645,43.26,3386,2077,61.34
17133600102,17133600102,2033,1347,66.26,1814,841,46.36,3847,2188,56.88
17133600101,17133600101,2626,1978,75.32,3046,1594,52.33,5672,3572,62.98
17043842500,17043842500,1157,905,78.22,1266,665,52.53,2423,1570,64.8
17031829500,17031829500,1572,827,52.61,1646,739,44.9,3218,1566,48.66
17191955200,17191955200,1150,660,57.39,1364,575,42.16,2514,1235,49.12
17031191200,17031191200,1260,854,67.78,1387,615,44.34,2647,1469,55.5
17197883519,17197883519,1832,1249,68.18,2481,1583,63.8,4314,2833,65.67
17197883515,17197883515,1474,985,66.82,1674,1025,61.23,3148,2011,63.88
17197883514,17197883514,2556,1904,74.49,2809,1676,59.67,5364,3579,66.72
17031819300,17031819300,970,596,61.44,1174,735,62.61,2144,1331,62.08
17197883516,17197883516,2382,1795,75.36,2568,1587,61.8,4948,3382,68.35
17197883511,17197883511,1806,1415,78.35,1930,1362,70.57,3736,2777,74.33
17197883510,17197883510,1853,1553,83.81,1578,1047,66.35,3431,2599,75.75
17197883513,17197883513,1783,1263,70.84,2143,1021,47.64,3925,2283,58.17
17201002400,17201002400,659,362,54.93,1056,387,36.65,1715,749,43.67
17031834500,17031834500,455,148,32.53,628,222,35.35,1083,370,34.16
17097864519,17097864519,1802,1384,76.8,2100,1218,58.0,3902,2602,66.68
17097864518,17097864518,2106,1588,75.4,2147,1342,62.51,4253,2930,68.89
17031221000,17031221000,1014,582,57.4,1210,511,42.23,2224,1093,49.15
17097864516,17097864516,1529,1140,74.56,2061,1322,64.14,3590,2462,68.58
