name,id,avg_household_income,median_income,percent_poverty,per_capita_income
Adams County,17001,65139,45809,4.8,26574
Albany Park,14,69392,47865,19.0,21975
Alexander County,17003,37509,27393,8.5,15157
Archer Heights,57,63195,42636,12.4,18138
Armour Square,34,43027,21670,30.2,16859
Ashburn,70,82079,67964,12.2,24877
Auburn Gresham,71,52580,30900,28.6,18989
Austin,25,54008,31886,27.7,17977
Avalon Park,45,65722,45426,16.5,25321
Avondale,21,66669,46353,16.6,23048
Belmont Cragin,19,61886,42323,19.9,16969
Beverly,72,122280,87452,3.2,46058
Bond County,17005,69529,47131,2.5,25150
Boone County,17007,82438,63534,2.6,28164
Bridgeport,60,64348,44419,17.8,24596
Brighton Park,58,56155,37594,22.8,15085
Brown County,17009,65137,43750,2.9,19709
Bureau County,17011,65466,47923,2.6,26693
Burnside,47,51474,26343,35.9,19011
Calhoun County,17013,64521,48269,3.4,26435
Calumet Height,48,88607,55617,12.5,35373
Carroll County,17015,62955,48590,4.6,27093
Cass County,17017,58808,43493,5.7,22718
Champaign County,17019,68484,45083,7.9,27473
Chatham,44,54083,30556,24.9,23901
Chicago Lawn,66,53770,34481,27.4,15037
Christian County,17021,60882,44154,4.1,24589
Clark County,17023,64517,46618,3.6,26786
Clay County,17025,53731,39965,6.3,22158
Clearing,64,73210,56588,7.3,26789
Clinton County,17027,74998,61045,1.8,27815
Coles County,17029,57594,37984,8.4,22946
Cook County,17031,0,0,0.0,0
Crawford County,17033,62679,44695,5.1,24554
Cumberland County,17035,58257,44306,4.2,23080
De Witt County,17039,70606,49450,2.4,29038
DeKalb County,17037,71644,53565,5.8,26219
Douglas,35,55548,33234,26.5,26062
Douglas County,17041,63438,50742,3.2,24512
Dunning,17,78502,61441,9.1,28780
DuPage,430,110330,79011,2.4,40566
East Garfield,27,44643,25106,42.4,15238
East Side,52,61209,42558,25.1,18457
Edgar County,17045,60160,42720,5.2,25387
Edgewater,77,69410,42647,12.5,36247
Edison Park,9,101283,83061,1.7,42840
Edwards County,17047,53247,39378,3.8,22500
Effingham County,17049,68801,51189,4.0,27155
Englewood,68,39339,19104,46.0,13151
Fayette County,17051,58464,43894,6.2,21946
Ford County,17053,66062,50234,2.9,26630
Forest Glen,12,122189,90926,6.0,45316
Franklin County,17055,50722,37516,5.6,21305
Fuller Park,37,28136,15650,48.7,11485
Fulton County,17057,56734,43269,4.4,22247
Gage Park,63,55433,38259,22.4,13039
Gallatin County,17059,56001,39044,3.9,24078
Garfield Ridge,56,79604,60624,7.9,27509
Grand Boulevar,38,56882,30154,33.7,25649
Greater Grand,69,50807,29255,33.4,19612
Greene County,17061,60555,42742,4.1,24290
Grundy County,17063,82387,64055,1.8,30521
Hamilton County,17065,57381,38416,3.1,23673
