year,tract_id,tract_name,num_tracts,num_vacants,pct_vacant,pct_change,pct_owner_occupied
2011,17009,Brown County,2462,197.5,8.02,47.39,62.27
2011,17167,Sangamon County,89900,8432.0,9.38,7.01,65.35
2011,17165,Saline County,11697,1349.25,11.54,14.34,64.78
2011,17163,St. Clair County,116249,10477.0,9.01,9.0,59.2
2011,17161,Rock Island County,65755,3801.5,5.78,6.4,65.43
2011,17001,Adams County,29842,1492.0,5.0,24.85,66.47
2011,17003,Alexander County,4006,1620.5,40.45,-1.5,50.7
2011,17005,Bond County,7089,661.5,9.33,12.21,69.04
2011,17007,Boone County,19969,2738.5,13.71,10.35,75.22
2011,17169,Schuyler County,3459,380.5,11.0,6.43,72.33
2011,17153,Pulaski County,3155,510.5,16.18,0.05,60.38
2011,17151,Pope County,2491,184.5,7.41,21.38,57.65
2011,17019,Champaign County,87568,7027.0,8.02,7.89,49.24
2011,17157,Randolph County,13707,1237.5,9.03,14.21,65.66
2011,17155,Putnam County,3073,1710.5,55.64,5.64,62.88
2011,17013,Calhoun County,2835,224.5,7.92,5.28,58.1
2011,17159,Richland County,7513,596.0,7.93,14.84,68.55
2011,17011,Bureau County,15720,3205.5,20.39,8.55,68.53
2011,17017,Cass County,5836,856.75,14.68,0.79,61.46
2011,17015,Carroll County,8437,2519.25,29.86,48.45,60.82
2011,17081,Jefferson County,16954,1452.5,8.57,7.95,65.49
2011,17083,Jersey County,9848,1457.75,14.8,-51.46,70.13
2011,17085,Jo Daviess County,13574,4039.0,29.76,58.95,56.57
2011,17087,Johnson County,5598,904.25,16.15,21.42,63.34
2011,17089,Kane County,182046,12884.75,7.08,9.12,70.87
2011,17027,Clinton County,15310,1640.75,10.72,31.39,75.6
2011,17025,Clay County,6404,979.25,15.29,-21.14,67.88
2011,17023,Clark County,7772,725.25,9.33,16.83,64.35
2011,17021,Christian County,15563,1564.75,10.05,20.88,67.47
2011,17029,Coles County,23425,1238.75,5.29,4.58,56.32
2011,17149,Pike County,7951,950.25,11.95,54.58,64.7
2011,17145,Perry County,9426,826.5,8.77,5.93,67.84
2011,17147,Piatt County,7269,757.25,10.42,7.26,73.82
2011,17141,Ogle County,22561,2957.25,13.11,5.42,68.68
