year,tract_id,tract_name,num_tracts,num_vacants,pct_vacant,pct_change,pct_owner_occupied
2008,1763641,Richmond village,1002,211.8,21.12,null,56.59
2008,1744498,Long Creek village,539,8.14,1.51,null,85.01
2008,1780125,West Dundee village,2945,97.85,3.32,null,74.91
2008,1736347,Hoyleton village,213,8.24,3.87,null,77.37
2008,1711293,Carmi city,2539,214.04,8.43,null,65.83
2008,1727091,Forsyth village,1353,83.13,6.14,null,87.71
2008,1773391,Sugar Grove village,3193,257.87,8.07,null,91.17
2008,1782985,Wood Dale city,5529,83.36,1.51,null,69.99
2008,1754534,Oak Brook village,3187,91.43,2.87,null,77.39
2008,1709681,Bureau Junction village,162,4.38,2.69,null,52.17
2008,1755002,Oakwood village,675,24.22,3.59,null,74.53
2008,1708225,Bridgeview village,5888,96.41,1.64,null,69.85
2008,1769875,Sidney village,505,8.66,1.71,null,79.48
2008,1765884,Rosewood Heights CDP,1752,25.55,1.46,null,77.44
2008,1751271,Muddy village,36,2.89,8.04,null,61.61
2008,1717991,Cuba city,564,153.74,27.21,null,76.26
2008,1756978,Otterville town,52,20.07,38.6,null,80.43
2008,1709577,Bunker Hill city,745,9.02,1.21,null,83.5
2008,1704117,Batchtown village,109,5.08,4.62,null,63.66
2008,1739883,Kildeer village,1311,253.2,19.3,null,90.09
2008,1778708,Waltonville village,187,9.13,4.88,null,78.74
2008,1747280,Martinton village,151,10.93,7.19,null,82.1
2008,1708420,Broadlands village,147,2.52,1.71,null,77.29
2008,1783765,Yale village,43,2.39,5.43,null,70.25
2008,1769277,Sheridan village,321,28.86,8.99,null,177.45
2008,1701205,Alto Pass village,160,7.49,4.65,null,76.08
2008,1732408,Hamel village,337,18.02,5.35,null,83.0
2008,1755171,Odell village,454,65.68,14.43,null,50.83
2008,1756159,Oneida city,309,139.81,45.1,null,75.12
2008,1717523,Crete village,3386,26.22,0.77,null,82.49
2008,1778383,Waggoner village,114,5.04,4.39,null,72.58
2008,1783102,Woodland village,135,4.05,3.0,null,70.31
2008,1768458,Seaton village,94,14.0,14.89,null,87.13
2008,1726454,Flora city,2355,285.94,12.14,null,53.49
2008,1732668,Hanna City village,584,41.25,7.06,null,72.25
2008,1774860,Thayer village,313,9.06,2.89,null,59.42
2008,1779163,Waterman village,598,78.18,13.05,null,69.29
2008,1772624,Steward village,105,12.42,11.83,null,71.24
2008,1721254,Dupo village,1862,108.2,5.81,null,71.68
2008,1721579,East Brooklyn village,44,1.8,4.08,null,72.47
2008,1737257,Indian Head Park village,1927,29.86,1.55,null,78.44
2008,1750829,Mount Auburn village,219,12.61,5.73,null,66.86
2008,1750530,Morrison city,1869,41.53,2.22,null,63.9
2008,1764174,Ripley village,49,0.68,1.38,null,57.45
2008,1782218,Wilsonville village,264,4.61,1.74,null,70.99
2008,1704936,Bellmont village,128,4.2,3.28,null,67.04
2008,1769082,Shawneetown city,597,47.88,8.02,null,67.84
2008,1778942,Warsaw city,789,45.45,5.75,null,77.48
2008,1717458,Crest Hill city,7703,74.34,0.96,null,72.16
2008,1705404,Berkeley village,1918,12.09,0.63,null,79.64
2008,1749607,Minooka village,3694,507.32,13.73,null,84.68
2008,1738115,Jacksonville city,8161,325.04,3.98,null,53.67
2008,1740832,La Harpe city,603,242.84,40.2,null,71.67
2008,1777720,Versailles village,247,3.42,1.38,null,63.09
2008,1760079,Piper City village,371,14.45,3.89,null,70.08
2008,1734670,Highland city,4283,72.95,1.7,null,65.59
2008,1712801,Chebanse village,454,65.99,14.5,null,64.22
2008,1704689,Belgium village,191,9.04,4.73,null,68.44
2008,1717185,Crainville village,582,20.72,3.55,null,60.19
2008,1738375,Jerome village,884,19.32,2.19,null,56.25
2008,1761899,Princeton city,3678,228.85,6.22,null,68.63
2008,1731992,Gulf Port village,33,9.82,28.89,null,63.7
2008,1735671,Hollowayville village,28,0.75,2.69,null,79.23
2008,1716210,Cooksville village,90,62.79,69.77,null,64.45
2008,1746240,Malden village,143,17.51,12.16,null,70.1
2008,1714767,Clayton village,332,29.45,8.87,null,68.54
2008,1733136,Harrisburg city,4193,226.51,5.4,null,55.02
2008,1710643,Cambridge village,920,31.25,3.4,null,84.44
2008,1735411,Hoffman Estates village,18969,141.28,0.74,null,72.94
2008,1764590,Roanoke village,867,538.33,62.09,null,72.51
2008,1750647,Morton Grove village,9035,69.97,0.77,null,83.23
2008,1710084,Bush village,134,3.19,2.38,null,61.04
2008,1701543,Anna city,2123,115.32,5.43,null,53.29
2008,1717077,Coyne Center CDP,349,13.81,3.96,null,91.69
2008,1749555,Minier village,545,190.19,34.83,null,67.73
2008,1775757,Topeka village,44,3.98,8.84,null,69.19
2008,1740767,La Grange village,5943,42.83,0.72,null,72.58
2008,1750790,Mound Station village,62,0.87,1.38,null,63.39
2008,1735073,Hillsdale village,237,23.71,9.96,null,74.86
2008,1730029,Glenwood village,3505,38.39,1.1,null,71.64
2008,1748554,Merrionette Park village,950,0.99,0.1,null,51.57
2008,1735307,Hinsdale village,5965,158.49,2.66,null,76.83
2008,1700230,Addieville village,110,3.98,3.58,null,76.87
2008,1780879,West Union CDP,140,10.88,7.77,null,69.2
2008,1777473,Venice city,916,166.25,18.15,null,37.55
2008,1730757,Grand Ridge village,224,36.63,16.28,null,77.93
2008,1773170,Streator city,6271,383.73,6.12,null,65.96
2008,1746864,Marine village,421,28.06,6.67,null,78.6
2008,1724374,Erie village,678,173.29,25.56,null,75.21
2008,1743445,Lima village,69,2.43,3.53,null,68.09
2008,1754781,Oakland city,416,12.08,2.9,null,71.14
2008,1720526,Dover village,72,8.76,12.16,null,65.07
2008,1766287,Ruma village,124,14.98,11.98,null,73.37
2008,1748242,Melrose Park village,8524,374.77,4.4,null,50.94
2008,1744719,Loraine village,138,4.9,3.53,null,64.91
2008,1731576,Greenview village,368,137.16,37.17,null,67.49
2008,1711592,Cary village,6257,258.31,4.13,null,86.33
2008,1729938,Glenview village,17745,286.21,1.61,null,74.08
2008,1748606,Metamora village,1483,529.4,35.7,null,73.84
2008,1723503,Ellis Grove village,159,11.61,7.26,null,74.4
2008,1727884,Freeport city,12396,799.6,6.45,null,56.62
2008,1708303,Brimfield village,354,58.84,16.58,null,73.28
2008,1736190,Hopkins Park village,290,0.55,0.19,null,44.76
2008,1773547,Summerfield village,188,11.18,5.95,null,65.02
2008,1759273,Pesotum village,245,11.54,4.69,null,70.0
2008,1710513,Calumet Park village,3203,23.86,0.74,null,53.61
2008,1736750,Huntley village,10499,603.37,5.75,null,76.07
2008,1709148,Brussels village,70,3.28,4.62,null,64.99
2008,1743939,Lisle village,9915,89.6,0.9,null,59.73
2008,1722567,Edgewood village,224,8.02,3.56,null,66.5
2008,1778175,Virgil village,118,12.79,10.84,null,83.05
2008,1707471,Bourbonnais village,6445,590.0,9.15,null,64.19
2008,1764759,Rochester village,1400,25.76,1.84,null,93.4
2008,1727533,Fox River Grove village,1856,25.95,1.4,null,83.78
2008,1751206,Mount Zion village,2324,56.59,2.43,null,78.78
2008,1759052,Peotone village,1581,307.7,19.45,null,87.78
2008,1771604,Spring Bay village,207,39.29,18.89,null,78.22
2008,1780060,West Chicago city,7762,195.39,2.52,null,77.26
2008,1715352,Coffeen city,314,12.43,3.95,null,43.57
2008,1752467,New Grand Chain village,119,7.41,6.23,null,55.13
2008,1718420,Dallas City city,491,63.45,12.9,null,60.73
2008,1765962,Rossville village,600,30.96,5.15,null,64.27
2008,1775653,Toluca city,640,349.51,54.61,null,69.7
2008,1727624,Frankfort village,6070,997.45,16.43,null,90.13
2008,1752311,New Canton town,177,12.01,6.75,null,70.3
2008,1712008,Cedarville village,325,47.91,14.74,null,78.95
2008,1718641,Darmstadt CDP,29,2.53,8.72,null,76.31
2008,1778370,Wadsworth village,1382,99.29,7.18,null,83.87
2008,1769212,Sheldon village,485,14.53,3.0,null,64.63
2008,1726467,Floraville CDP,25,1.22,4.68,null,65.81
2008,1742405,Lawrenceville city,2271,153.65,6.76,null,53.67
2008,1772702,Stillman Valley village,446,64.55,14.44,null,74.42
2008,1703571,Banner village,83,2.77,3.3,null,78.32
2008,1726662,Foosland village,50,1.71,3.42,null,64.56
2008,1730835,Grandview village,684,6.35,0.93,null,62.88
2008,1749802,Modesto village,92,8.24,8.86,null,64.3
2008,1780645,Westmont village,11224,189.47,1.69,null,58.02
2008,1770122,Skokie village,25066,558.86,2.23,null,68.04
2008,1779150,Waterloo city,4046,157.54,3.89,null,72.6
2008,1757329,Palmyra village,320,28.44,8.86,null,68.8
2008,1779449,Waynesville village,206,11.55,5.61,null,72.7
2008,1773943,Sun River Terrace village,227,3.17,1.39,null,64.23
2008,1732967,Harmon village,55,8.49,15.16,null,70.32
2008,1766989,St. Libory village,271,23.72,8.72,null,73.58
2008,1733630,Hawthorn Woods village,2571,374.83,14.58,null,94.57
2008,1730900,Grandwood Park CDP,1830,7.02,0.38,null,79.66
2008,1761080,Pontoosuc village,108,6.49,5.96,null,42.21
2008,1716119,Congerville village,177,62.46,35.09,null,88.08
2008,1749945,Monee village,2100,329.49,15.69,null,78.17
2008,1737647,Ipava village,242,45.25,18.62,null,71.66
2008,1734449,Heyworth village,1055,268.73,25.47,null,85.43
2008,1760599,Pleasant Plains village,327,25.74,7.87,null,76.25
2008,1761067,Pontoon Beach village,2453,121.34,4.94,null,68.89
2008,1777863,Vienna city,737,56.19,7.61,null,60.04
2008,1750491,Morris city,6009,124.59,2.07,null,52.24
2008,1746383,Manito village,710,92.96,13.09,null,82.71
2008,1769186,Shelbyville city,2307,136.36,5.91,null,72.71
2008,1701556,Annapolis CDP,18,0.7,3.91,null,110.15
2008,1781191,White City village,108,7.09,6.51,null,73.92
2008,1725960,Fidelity village,54,6.32,11.71,null,57.47
2008,1740156,Kirkland village,641,82.76,12.89,null,72.72
2008,1738414,Jerseyville city,3756,1240.97,33.04,null,64.43
2008,1745278,Lyndon village,264,67.47,25.56,null,78.13
2008,1764616,Robbins village,2047,84.2,4.11,null,51.87
2008,1764343,River Grove village,4427,28.24,0.64,null,56.83
2008,1741716,Lakewood Shores CDP,552,16.73,3.03,null,82.21
2008,1775822,Towanda village,222,102.79,46.09,null,73.35
