tract_id,tract_name,pct_female_jobs,pct_male_jobs
1763641,Richmond village,39.11,60.89
1744498,Long Creek village,36.17,63.83
1780125,West Dundee village,47.53,52.45
1736347,Hoyleton village,41.67,59.03
1711293,Carmi city,47.93,52.03
1727091,Forsyth village,49.94,50.06
1773391,Sugar Grove village,44.22,55.78
1782985,Wood Dale city,41.82,58.18
1754534,Oak Brook village,56.91,43.09
1709681,Bureau Junction village,40.28,59.72
1755002,Oakwood village,52.52,47.9
1708225,Bridgeview village,41.55,58.45
1769875,Sidney village,50.79,49.21
1765884,Rosewood Heights CDP,47.89,52.11
1751271,Muddy village,35.71,64.29
1717991,Cuba city,64.35,35.65
1756978,Otterville town,0.0,66.67
1709577,Bunker Hill city,47.5,52.5
1704117,Batchtown village,55.56,50.0
1739883,Kildeer village,52.15,47.85
1778708,Waltonville village,42.86,57.14
1747280,Martinton village,38.3,61.7
1708420,Broadlands village,50.0,50.0
1783765,Yale village,33.33,50.0
1769277,Sheridan village,56.51,43.49
1701205,Alto Pass village,50.0,50.0
1732408,Hamel village,35.48,65.59
1755171,Odell village,42.39,57.61
1756159,Oneida city,54.81,45.19
1717523,Crete village,61.24,38.76
1778383,Waggoner village,32.47,68.83
1783102,Woodland village,76.0,24.0
1768458,Seaton village,53.33,46.67
1726454,Flora city,50.25,49.72
1732668,Hanna City village,43.18,56.82
1774860,Thayer village,52.1,47.9
1779163,Waterman village,48.62,51.38
1772624,Steward village,41.12,58.88
1721254,Dupo village,32.58,67.55
1721579,East Brooklyn village,50.0,50.0
1737257,Indian Head Park village,54.36,45.58
1750829,Mount Auburn village,45.16,54.84
1750530,Morrison city,57.26,42.67
1764174,Ripley village,12.5,87.5
1782218,Wilsonville village,52.63,52.63
1704936,Bellmont village,25.93,74.07
1769082,Shawneetown city,35.43,64.57
1778942,Warsaw city,53.17,46.83
1717458,Crest Hill city,48.75,51.23
1705404,Berkeley village,41.75,58.25
1749607,Minooka village,46.92,53.17
1738115,Jacksonville city,57.3,42.71
1740832,La Harpe city,62.73,37.27
1777720,Versailles village,17.39,82.61
1760079,Piper City village,66.67,33.33
1734670,Highland city,48.1,51.88
1712801,Chebanse village,49.74,50.26
1704689,Belgium village,58.14,41.86
1717185,Crainville village,56.57,43.43
1738375,Jerome village,42.4,57.6
1761899,Princeton city,56.29,43.73
1731992,Gulf Port village,54.55,45.45
1735671,Hollowayville village,42.11,57.89
1716210,Cooksville village,58.82,41.18
1746240,Malden village,31.29,68.71
1714767,Clayton village,57.41,43.21
1733136,Harrisburg city,51.65,48.33
1710643,Cambridge village,62.95,37.05
1735411,Hoffman Estates village,52.33,47.68
1764590,Roanoke village,40.34,59.66
1750647,Morton Grove village,43.5,56.5
1710084,Bush village,47.37,57.89
1701543,Anna city,61.74,38.23
1717077,Coyne Center CDP,42.86,57.14
1749555,Minier village,47.64,52.36
1775757,Topeka village,0.0,50.0
1740767,La Grange village,56.06,43.94
1750790,Mound Station village,16.67,83.33
1735073,Hillsdale village,29.84,70.43
1730029,Glenwood village,40.87,59.11
1748554,Merrionette Park village,58.71,41.29
1735307,Hinsdale village,57.8,42.21
1700230,Addieville village,37.78,62.22
1780879,West Union CDP,38.89,61.11
1777473,Venice city,19.7,80.3
1730757,Grand Ridge village,46.97,51.52
1773170,Streator city,57.4,42.52
1746864,Marine village,59.31,40.69
1724374,Erie village,48.84,51.16
1743445,Lima village,48.0,52.0
1754781,Oakland city,33.06,66.94
1720526,Dover village,32.35,69.12
1766287,Ruma village,35.71,64.29
1748242,Melrose Park village,44.64,55.35
1744719,Loraine village,47.92,52.08
1731576,Greenview village,52.0,48.0
1711592,Cary village,48.39,51.61
1729938,Glenview village,52.09,47.91
1748606,Metamora village,65.36,34.64
1723503,Ellis Grove village,30.77,69.23
1727884,Freeport city,58.98,41.02
1708303,Brimfield village,56.97,43.03
1736190,Hopkins Park village,70.0,30.0
1773547,Summerfield village,46.96,53.04
1759273,Pesotum village,42.57,57.43
1710513,Calumet Park village,58.02,41.91
1736750,Huntley village,44.96,55.07
1709148,Brussels village,50.0,50.0
1743939,Lisle village,43.2,56.8
1722567,Edgewood village,31.82,68.18
1778175,Virgil village,47.62,51.95
1707471,Bourbonnais village,62.54,37.43
1764759,Rochester village,48.56,51.7
1727533,Fox River Grove village,49.7,50.3
1751206,Mount Zion village,55.6,44.48
1759052,Peotone village,47.29,52.71
1771604,Spring Bay village,23.73,76.27
1780060,West Chicago city,38.17,61.82
1715352,Coffeen city,40.85,59.15
1752467,New Grand Chain village,50.0,50.0
1718420,Dallas City city,52.41,47.59
1765962,Rossville village,37.83,62.17
1775653,Toluca city,50.82,48.95
1727624,Frankfort village,53.29,46.7
1752311,New Canton town,42.5,57.5
1712008,Cedarville village,37.89,63.16
1718641,Darmstadt CDP,33.33,55.56
1778370,Wadsworth village,44.46,55.39
1769212,Sheldon village,76.02,23.98
1726467,Floraville CDP,44.44,55.56
1742405,Lawrenceville city,53.21,46.83
1772702,Stillman Valley village,48.0,51.5
1703571,Banner village,35.71,64.29
1726662,Foosland village,50.0,50.0
1730835,Grandview village,41.64,58.36
1749802,Modesto village,42.31,53.85
1780645,Westmont village,54.0,45.98
1770122,Skokie village,50.85,49.15
1779150,Waterloo city,55.27,44.73
1757329,Palmyra village,44.68,56.38
1779449,Waynesville village,37.5,62.5
1773943,Sun River Terrace village,66.0,34.0
1732967,Harmon village,25.0,75.0
1766989,St. Libory village,38.96,62.34
1733630,Hawthorn Woods village,52.66,47.34
1730900,Grandwood Park CDP,60.45,39.55
1761080,Pontoosuc village,48.15,48.15
1716119,Congerville village,20.0,80.0
1749945,Monee village,34.03,65.97
1737647,Ipava village,50.0,50.0
1734449,Heyworth village,46.79,53.38
1760599,Pleasant Plains village,39.76,60.24
1761067,Pontoon Beach village,34.46,65.41
1777863,Vienna city,63.62,36.16
1750491,Morris city,61.88,38.12
1746383,Manito village,48.61,51.39
1769186,Shelbyville city,48.74,51.26
1701556,Annapolis CDP,50.0,50.0
1781191,White City village,50.0,54.17
1725960,Fidelity village,55.26,44.74
1740156,Kirkland village,43.15,56.85
1738414,Jerseyville city,62.78,37.22
1745278,Lyndon village,48.28,51.72
1764616,Robbins village,40.53,59.55
1764343,River Grove village,47.31,52.69
1741716,Lakewood Shores CDP,27.59,72.41
1775822,Towanda village,38.71,61.29
1742971,Le Roy city,57.12,42.73
1784220,Zion city,61.06,38.94
1730588,Gorham village,33.33,66.67
1701881,Arcola city,47.03,52.97
1731368,Greenfield city,42.15,57.02
1711618,Casey city,51.96,48.04
1767236,Salem city,49.88,50.1
1754222,North Utica village,48.3,51.78
